timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779479083.656496,0.0000,circle,0.0658,0.1223,1.4570,-0.0098,-0.0178,0.0003,-1.5777,-0.0009,0.0658,0.1223,-1.9077,0.2402,2.4556,-0.0143,-0.0179,0.0011,-1.6088,-0.0002,-1.9342,0.1362,2.4570,-0.0265,-0.1041,0.0013,0.1074,0.0013,0.0311,1.9770,0.9987,0.0000,0.0018,-0.0133,-0.0520,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0132,-0.0502,0.0007,0.0248
1779479083.710817,0.0620,circle,0.0658,0.1223,1.4570,-0.0098,-0.0178,0.0003,-1.5777,-0.0009,0.0659,0.0983,-1.9076,0.2402,2.4556,-0.0143,-0.0179,0.0012,-1.6088,-0.0002,-1.9342,0.1362,2.4570,-0.0266,-0.1041,0.0014,0.1074,0.0014,0.0311,1.9769,0.9986,0.0000,0.0018,-0.0133,-0.0520,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0133,-0.0502,0.0007,0.0248
1779479083.749370,0.0940,circle,0.0658,0.1223,1.4570,-0.0098,-0.0178,0.0003,-1.5777,-0.0009,0.0662,0.0743,-1.9078,0.2399,2.4556,-0.0145,-0.0185,0.0011,-1.6088,0.0008,-1.9342,0.1362,2.4570,-0.0264,-0.1037,0.0014,0.1071,0.0014,0.0310,1.9770,0.9986,0.0000,0.0018,-0.0132,-0.0519,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0132,-0.0500,0.0007,0.0247
1779479083.805817,0.1560,circle,0.0681,0.1226,1.4570,-0.0094,-0.0179,0.0000,-1.5775,0.0094,0.0670,0.0383,-1.9074,0.2401,2.4556,-0.0149,-0.0205,0.0011,-1.6085,0.0062,-1.9318,0.1360,2.4570,-0.0244,-0.1041,0.0014,0.1069,0.0014,0.0310,1.9790,0.9986,-0.0001,-0.0189,-0.0122,-0.0520,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0123,-0.0709,0.0007,0.0251
1779479083.850022,0.2030,circle,0.0681,0.1226,1.4570,-0.0094,-0.0179,0.0000,-1.5775,0.0094,0.0677,0.0143,-1.9074,0.2398,2.4556,-0.0155,-0.0231,0.0012,-1.6080,0.0109,-1.9318,0.1360,2.4570,-0.0245,-0.1039,0.0014,0.1067,0.0014,0.0306,1.9790,0.9986,-0.0001,-0.0189,-0.0122,-0.0519,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0124,-0.0708,0.0007,0.0243
1779479083.897577,0.2500,circle,0.0681,0.1226,1.4570,-0.0094,-0.0179,0.0000,-1.5775,0.0094,0.0687,-0.0096,-1.9075,0.2392,2.4555,-0.0168,-0.0284,0.0012,-1.6070,0.0185,-1.9318,0.1360,2.4570,-0.0244,-0.1032,0.0015,0.1061,0.0015,0.0296,1.9790,0.9985,-0.0001,-0.0189,-0.0122,-0.0516,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0123,-0.0705,0.0007,0.0228
1779479083.948156,0.2970,circle,0.0681,0.1226,1.4570,-0.0094,-0.0179,0.0000,-1.5775,0.0094,0.0705,-0.0456,-1.9075,0.2389,2.4555,-0.0173,-0.0305,0.0013,-1.6066,0.0210,-1.9318,0.1360,2.4570,-0.0243,-0.1029,0.0015,0.1058,0.0015,0.0291,1.9791,0.9985,-0.0001,-0.0189,-0.0121,-0.0515,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0123,-0.0703,0.0007,0.0222
1779479084.001554,0.3440,circle,0.0681,0.1226,1.4570,-0.0094,-0.0179,0.0000,-1.5775,0.0094,0.0727,-0.0815,-1.9074,0.2377,2.4555,-0.0188,-0.0391,0.0013,-1.6044,0.0295,-1.9318,0.1360,2.4570,-0.0244,-0.1018,0.0015,0.1046,0.0015,0.0270,1.9789,0.9985,-0.0001,-0.0189,-0.0122,-0.0509,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0123,-0.0697,0.0007,0.0196
1779479084.058351,0.4060,circle,0.0713,0.1201,1.4568,-0.0060,-0.0449,-0.0006,-1.5539,0.1798,0.0744,-0.1055,-1.9076,0.2362,2.4555,-0.0200,-0.0457,0.0014,-1.6025,0.0332,-1.9284,0.0862,2.4568,-0.0208,-0.1500,0.0013,0.1514,0.0013,0.0486,1.9823,0.9987,0.0061,-0.3595,-0.0104,-0.0750,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0043,-0.4345,0.0007,0.0535
1779479084.103880,0.4530,circle,0.0713,0.1201,1.4568,-0.0060,-0.0449,-0.0006,-1.5539,0.1798,0.0774,-0.1413,-1.9077,0.2356,2.4555,-0.0204,-0.0478,0.0015,-1.6011,0.0347,-1.9284,0.0862,2.4568,-0.0207,-0.1494,0.0013,0.1508,0.0013,0.0472,1.9824,0.9987,0.0061,-0.3595,-0.0104,-0.0747,0.0007,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0043,-0.4342,0.0007,0.0523
