time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,lz_sp,lex,ley,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.030951,-0.594223,6.958325,0.0,0.0,-5.03781270980835,-0.5955522656440735,7.959616661071777,0.006859419401735067,0.014050214551389217,-0.06060368940234184,-1.5859792232513428,-0.00025994674069806933,-5.030835000308411,-0.5789919157559162,7.958325,0.006977709499938811,0.016560349888157244,-0.0012916610717770283,-4.8776748657219926e-05,-4.173317082878921e-06,-0.0002739682160845045,0.0,0.006977709499938811,0.016560349888157244,-0.0012916610717770283,0.0,0.0,-0.0,0.0,0.0,0.0,0.0069735361828559324,0.01628638167207274,-0.0012916610717770283,-9.755349731443985e-05
0.1000,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.030215999999344,-0.6694179000327765,6.958325,0.0007360000006556511,-0.0751949000327764,-5.03781270980835,-0.5955522656440735,7.959616661071777,0.006859419401735067,0.014050214551389217,-0.06060368940234184,-1.5859754085540771,-3.229151479899883e-05,-5.030835000308411,-0.5789919157559162,7.958325,0.006977709499938811,0.016560349888157244,-0.0012916610717770283,-5.2591445922844926e-05,-4.173317082878921e-06,-0.0002739682160845045,0.0,0.006977709499938811,0.016560349888157244,-0.0012916610717770283,0.0,0.0,-0.0,0.0,0.0,0.0,0.0069735361828559324,0.01628638167207274,-0.0012916610717770283,-0.00010518289184568985
0.1500,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.028097600004346,-0.7445862998793797,6.958325,0.0028543999956548213,-0.1503632998793798,-5.038051605224609,-0.5948863625526428,7.947230815887451,0.007157100364565849,0.013231735676527023,-0.029184333980083466,-1.5859754085540771,-3.229151479899883e-05,-5.030835000308411,-0.5789919157559162,7.958325,0.007216604916198577,0.01589444679672658,0.011094184112549144,-5.2591445922844926e-05,-4.173317082878921e-06,-0.0002739682160845045,0.0,0.007216604916198577,0.01589444679672658,0.011094184112549144,0.0,0.0,0.0,0.0,0.0,0.0,0.007212431599115698,0.015620478580642076,0.011094184112549144,-0.00010518289184568985
0.2000,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.023145800003932,-0.8436595999345537,6.958325,0.007805199996068142,-0.24943659993455375,-5.038051605224609,-0.5948863625526428,7.947230815887451,0.007157100364565849,0.013231735676527023,-0.029184333980083466,-1.5859754085540771,-3.229151479899883e-05,-5.030835000308411,-0.5789919157559162,7.958325,0.007216604916198577,0.01589444679672658,0.011094184112549144,-5.2591445922844926e-05,-4.173317082878921e-06,-0.0002739682160845045,0.0,0.007216604916198577,0.01589444679672658,0.011094184112549144,0.0,0.0,0.0,0.0,0.0,0.0,0.007212431599115698,0.015620478580642076,0.011094184112549144,-0.00010518289184568985
0.2500,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.5826064000147382,0.050078399785474174,-4.019616000004187,-0.8947371999450242,6.958325,0.011335599995814962,-0.3005141999450242,-5.038051605224609,-0.5948863625526428,7.947230815887451,0.007157100364565849,0.013231735676527023,-0.029184333980083466,-1.5859754085540771,-3.229151479899883e-05,-5.030881261895853,-0.5824132013188071,7.958325,0.00717034332875599,0.012473161233835683,0.011094184112549144,0.003369008539338969,-0.0005914158197427393,-0.05007490741281443,0.0,0.00717034332875599,0.012473161233835683,0.011094184112549144,0.0,0.0,0.0,0.0,0.0,0.0,0.006578927509013251,-0.03760174617897875,0.011094184112549144,0.006738017078677938
0.3000,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-4.0109365,-0.993553,6.958325,0.019713500000000002,-0.398631,-5.038051605224609,-0.5948863625526428,7.947230815887451,0.007157100364565849,0.013231735676527023,-0.029184333980083466,-1.5859754085540771,-3.229151479899883e-05,-5.030627704423132,-0.5882453764224957,7.958374,0.007423900801477146,0.006640986130147075,0.011143184112548887,0.008501408554077106,-0.0008332672581188595,-0.12478221784644054,0.0,0.007423900801477146,0.006640986130147075,0.011143184112548887,0.0,0.0,0.0,0.0,-0.0,0.0,0.006590633543358287,-0.11814123171629347,0.011143184112548887,0.01700281710815421
0.3500,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.9996133000068195,-1.0937120999452896,6.958325,0.031036699993180577,-0.4987890999452895,-5.038051605224609,-0.5948863625526428,7.947230815887451,0.007157100364565849,0.013231735676527023,-0.029184333980083466,-1.5859612226486206,0.0008013517945073545,-5.030627704423132,-0.5882453764224957,7.958374,0.007423900801477146,0.006640986130147075,0.011143184112548887,0.008487222648620563,-0.0008332672581188595,-0.12478221784644054,0.0,0.007423900801477146,0.006640986130147075,0.011143184112548887,0.0,0.0,0.0,0.0,-0.0,0.0,0.006590633543358287,-0.11814123171629347,0.011143184112548887,0.016974445297241125
0.4000,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.9931230000168414,-1.1428851998804848,6.958325,0.03752699998315866,-0.547962199880485,-5.038247585296631,-0.5942718982696533,7.942141532897949,0.007520550861954689,0.013093821704387665,-0.00030720027280040085,-1.5859612226486206,0.0008013517945073545,-5.030627704423132,-0.5882453764224957,7.958374,0.00761988087349863,0.006026521847157573,0.01623246710205084,0.008487222648620563,-0.0008332672581188595,-0.12478221784644054,0.0,0.00761988087349863,0.006026521847157573,0.01623246710205084,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006786613615379771,-0.11875569599928297,0.01623246710205084,0.016974445297241125
0.4500,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.9782935000107056,-1.240966999935316,6.958325,0.05235719998929649,-0.6460439999353159,-5.038247585296631,-0.5942718982696533,7.942141532897949,0.007520550861954689,0.013093821704387665,-0.00030720027280040085,-1.5859612226486206,0.0008013517945073545,-5.030627704423132,-0.5882453764224957,7.958374,0.00761988087349863,0.006026521847157573,0.01623246710205084,0.008487222648620563,-0.0008332672581188595,-0.12478221784644054,0.0,0.00761988087349863,0.006026521847157573,0.01623246710205084,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006786613615379771,-0.11875569599928297,0.01623246710205084,0.016974445297241125
0.5000,-4.03103739999939,-0.6084039999787527,6.958373350000001,0.014012099999534898,-0.09351959985405198,-0.0007207499994724055,-1.498739,0.459204,-3.965435150005869,-1.315057949967747,6.958325,0.06560159999352135,-0.7066539499889943,-5.038247585296631,-0.5942718982696533,7.942141532897949,0.007520550861954689,0.013093821704387665,-0.00030720027280040085,-1.5859612226486206,0.0008013517945073545,-5.028442393947023,-0.6803989862508626,7.958373350000001,0.009805191349608222,-0.08612708798120927,0.016231817102052126,0.08722222264862056,0.03306038567609796,-0.4580123628407291,0.0,0.009805191349608222,-0.08612708798120927,0.016231817102052126,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04286557702570618,-0.5441394508219384,0.016231817102052126,0.17444444529724112
