t,x,y,z,vx,vy,vz,yaw,yaw_rate
0.00000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.02000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.04000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.06000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.08000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.10000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.12000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.14000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.16000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.18000,0.005562,-4.027391,3.001438,-0.002269,0.027384,-0.001297,-0.815135,0.000055
0.20000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.22000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.24000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.26000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.28000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.30000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.32000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.34000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.36000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.38000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.40000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.820140,-0.103659
0.42000,0.007661,-4.027676,3.001499,-0.002796,0.015509,-0.000497,-0.972583,-1.127928
0.44000,0.010353,-4.044925,3.001788,0.003329,-0.117744,-0.000055,-0.972583,-1.127928
0.46000,0.010353,-4.044925,3.001788,0.003329,-0.117744,-0.000055,-0.972583,-1.127928
