t,x,y,z,vx,vy,vz,yaw,yaw_rate
0.00000,-2.021371,0.564621,3.966698,-0.018015,-0.013823,-0.000036,-1.658348,-0.000843
0.02000,-2.021176,0.564772,3.966699,-0.017881,-0.013640,-0.000033,-1.658348,-0.000843
0.04000,-2.021029,0.564885,3.966700,-0.017784,-0.013515,-0.000083,-1.658359,-0.000998
0.06000,-2.021151,0.564795,3.966698,-0.017767,-0.013485,-0.000215,-1.658315,0.001624
0.08000,-2.021065,0.564860,3.966695,-0.017294,-0.013342,-0.000286,-1.658315,0.001624
0.10000,-2.021200,0.564747,3.966689,-0.016446,-0.013352,-0.000338,-1.657697,0.020145
0.12000,-2.021134,0.564766,3.966684,-0.014713,-0.013268,-0.000425,-1.657697,0.020145
0.14000,-2.021134,0.564766,3.966684,-0.014713,-0.013268,-0.000425,-1.657697,0.020145
0.16000,-2.021107,0.564611,3.966666,-0.008157,-0.013205,-0.000570,-1.655443,0.067631
0.18000,-2.020740,0.564702,3.966657,-0.002688,-0.013047,-0.000617,-1.653269,0.104721
0.20000,-2.020740,0.564702,3.966657,-0.002688,-0.013047,-0.000617,-1.650143,0.151737
0.22000,-2.020413,0.564674,3.966647,0.004309,-0.012925,-0.000695,-1.645862,0.208412
0.24000,-2.018744,0.564989,3.966624,0.024063,-0.012285,-0.000901,-1.633067,0.350859
0.26000,-2.017889,0.564927,3.966606,0.036748,-0.012002,-0.001034,-1.633067,0.350859
0.28000,-2.017889,0.564927,3.966606,0.036748,-0.012002,-0.001034,-1.624186,0.435999
0.30000,-2.013157,0.565035,3.966538,0.087859,-0.010257,-0.001588,-1.600781,0.625031
0.32000,-2.013157,0.565035,3.966538,0.087859,-0.010257,-0.001588,-1.600781,0.625031
0.34000,-2.008230,0.565041,3.966470,0.133045,-0.008205,-0.002087,-1.569571,0.821874
0.36000,-2.008230,0.565041,3.966470,0.133045,-0.008205,-0.002087,-1.569571,0.821874
0.38000,-2.004787,0.565258,3.966429,0.159254,-0.006657,-0.002355,-1.551100,0.917871
0.40000,-2.004787,0.565258,3.966429,0.159254,-0.006657,-0.002355,-1.551100,0.917871
0.42000,-1.996266,0.565761,3.966329,0.218500,-0.002571,-0.003012,-1.508849,1.097257
0.44000,-1.990975,0.566145,3.966270,0.251595,0.000154,-0.003328,-1.485310,1.178431
0.46000,-1.985320,0.566368,3.966201,0.286624,0.003221,-0.003753,-1.434110,1.319885
0.48000,-1.978697,0.566824,3.966127,0.324049,0.006921,-0.004026,-1.434110,1.319885
0.50000,-1.971584,0.567168,3.966045,0.363446,0.011118,-0.004326,-1.406746,1.379279
0.52000,-1.962428,0.567783,3.965948,0.410411,0.016714,-0.004679,-1.345492,1.478526
0.54000,-1.953372,0.568448,3.965854,0.454318,0.022549,-0.004957,-1.345492,1.478526
0.56000,-1.932716,0.570152,3.965651,0.547618,0.036975,-0.005402,-1.285080,1.540434
0.58000,-1.932716,0.570152,3.965651,0.547618,0.036975,-0.005402,-1.285080,1.540434
0.60000,-1.920771,0.571503,3.965547,0.596796,0.045813,-0.005461,-1.254266,1.559723
0.62000,-1.920771,0.571503,3.965547,0.596796,0.045813,-0.005461,-1.223343,1.571455
0.64000,-1.894213,0.574428,3.965335,0.698491,0.065984,-0.005348,-1.192336,1.575856
0.66000,-1.894213,0.574428,3.965335,0.698491,0.065984,-0.005348,-1.161358,1.573432
0.68000,-1.863610,0.578141,3.965137,0.803335,0.089557,-0.004746,-1.130608,1.564576
0.70000,-1.846673,0.580424,3.965050,0.856482,0.102619,-0.004278,-1.100025,1.550037
0.72000,-1.846673,0.580424,3.965050,0.856482,0.102619,-0.004278,-1.069788,1.530166
0.74000,-1.789928,0.588477,3.964852,1.015984,0.146094,-0.002508,-1.010689,1.476952
0.76000,-1.789928,0.588477,3.964852,1.015984,0.146094,-0.002508,-0.982006,1.444994
0.78000,-1.768960,0.592000,3.964815,1.068752,0.162190,-0.001882,-0.982006,1.444994
0.80000,-1.747079,0.595979,3.964806,1.121139,0.179064,-0.001158,-0.953945,1.410210
0.82000,-1.724153,0.599996,3.964799,1.173100,0.196365,-0.000519,-0.899878,1.335367
0.84000,-1.700210,0.604600,3.964813,1.224630,0.214451,0.000109,-0.899878,1.335367
0.86000,-1.675232,0.609305,3.964829,1.275649,0.232961,0.000682,-0.873871,1.296386
0.88000,-1.649263,0.614592,3.964864,1.326092,0.252253,0.001256,-0.848587,1.257162
0.90000,-1.622300,0.620230,3.964920,1.375845,0.272030,0.001794,-0.823970,1.218277
