time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-1.970449,0.64083,3.964358,-0.015316,-0.016772,0.000155,-1.550677,-0.000434,-2.950289249420166,0.6450256109237671,4.965095520019531,-0.018977323547005653,-0.01993674784898758,-0.0002631375682540238,-1.5505092144012451,-0.0005626082420349121,-2.9702466131717666,0.6207120305189965,4.964358,-0.01995736375160062,-0.024313580404770607,-0.0007375200195314235,-0.0001677855987549659,-8.731198754755521e-06,0.0004339121641165467,0.0,-0.01995736375160062,-0.024313580404770607,-0.0007375200195314235,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.019966094950355378,-0.02387966824065406,-0.0007375200195314235,-0.0003355711975099318
0.1000,-1.9701640999998824,0.6410803000001473,3.964378,-0.014971400000110735,-0.016621900000063472,-0.00011319999994058163,-1.5507167999998703,-0.002523299995299196,-2.9506661891937256,0.6453983783721924,4.965115070343018,-0.018996691331267357,-0.02016892470419407,-0.00040490832179784775,-1.5505025386810303,-0.0006490347441285849,-2.9699625130749716,0.6210021224799414,4.964378,-0.019296323881246025,-0.02439625589225103,-0.0007370703430176206,-0.00021426131884005883,-5.066326524235194e-05,0.002522791331012517,0.0,-0.019296323881246025,-0.02439625589225103,-0.0007370703430176206,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.019346987146488377,-0.021873464561238513,-0.0007370703430176206,-0.00042852263768011767
0.1500,-1.9701494000000273,0.6410624999999788,3.9643824999999984,-0.014672800000087359,-0.016562900000009453,-0.0001804499999867985,-1.5511209999999511,-0.012569199999159668,-2.9506661891937256,0.6453983783721924,4.965115070343018,-0.018996691331267357,-0.02016892470419407,-0.00040490832179784775,-1.5505025386810303,-0.0006490347441285849,-2.9699558470018994,0.6213884426275774,4.964382499999998,-0.01928965780817382,-0.024009935744614963,-0.0007325703430192121,-0.0006184613189208488,-0.0002472871619086539,0.012566767192815761,0.0,-0.01928965780817382,-0.024009935744614963,-0.0007325703430192121,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.019536944970082477,-0.011443168551799202,-0.0007325703430192121,-0.0012369226378416975
0.2000,-1.9700570000000628,0.6411339999998722,3.964388000000011,-0.014377999999638182,-0.016531000000640516,-0.00022500000005937175,-1.5512860000004798,-0.015405000001651233,-2.9507687091827393,0.6458622813224792,4.965125560760498,-0.018830202519893646,-0.020293617621064186,-0.0002868151059374213,-1.5505141019821167,-0.0008334851008839905,-2.9698666796115316,0.6216249109588191,4.964388000000011,-0.019097970428792355,-0.024237370363660138,-0.0007375607604869217,-0.0007718980183630819,-0.00030053751670963723,0.015402068116065598,0.0,-0.019097970428792355,-0.024237370363660138,-0.0007375607604869217,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.01939850794550199,-0.00883530224759454,-0.0007375607604869217,-0.0015437960367261638
0.2500,-1.969864,0.640939,3.964436,-0.012493,-0.021499,-0.000244,-1.552162,0.007826,-2.9511187076568604,0.6462390422821045,4.965133190155029,-0.018743500113487244,-0.020611535757780075,-0.00043010219815187156,-1.5505549907684326,-0.001057252986356616,-2.9696903859563224,0.6223057516111942,4.964436,-0.018571678299462047,-0.023933290670910323,-0.0006971901550292259,-0.0016070092315674245,0.0001458238018907943,-0.007824641296494178,0.0,-0.018571678299462047,-0.023933290670910323,-0.0006971901550292259,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.018425854497571253,-0.0317579319674045,-0.0006971901550292259,-0.003214018463134849
0.3000,-1.969864,0.640939,3.964436,-0.012493,-0.021499,-0.000244,-1.551531,0.029564,-2.9512298107147217,0.6462152004241943,4.965131759643555,-0.01876075565814972,-0.02068483643233776,-0.00038194668013602495,-1.550574541091919,-0.0011561284773051739,-2.9696784293314393,0.6216748649130378,4.964436,-0.01844861861671765,-0.02454033551115653,-0.0006957596435546165,-0.0009564589080810482,0.0005695248897109519,-0.029558513788754667,0.0,-0.01844861861671765,-0.02454033551115653,-0.0006957596435546165,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.017879093727006697,-0.0540988492999112,-0.0006957596435546165,-0.0019129178161620963
0.3500,-1.969462,0.640013,3.964487,-0.009878,-0.03878,-0.00038,-1.545291,0.145728,-2.9514639377593994,0.6468226313591003,4.965118408203125,-0.018494421616196632,-0.020894691348075867,-0.0005912689375691116,-1.5506147146224976,-0.0007380160968750715,-2.969136756784597,0.6145104384098963,4.964487,-0.017672819025197573,-0.032312192949204066,-0.0006314082031249058,0.005323714622497588,0.0037164372954026402,-0.14568060295670573,0.0,-0.017672819025197573,-0.032312192949204066,-0.0006314082031249058,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.013956381729794933,-0.1779927959059098,-0.0006314082031249058,0.010647429244995177
0.4000,-1.969291,0.639545,3.964505,-0.008988,-0.045544,-0.00045,-1.536141,0.253121,-2.9514639377593994,0.6468226313591003,4.965118408203125,-0.018494421616196632,-0.020894691348075867,-0.0005912689375691116,-1.5506147146224976,-0.0007380160968750715,-2.968690564259172,0.6048966095817275,4.964505,-0.01722662649977247,-0.04192602177737281,-0.0006134082031250543,0.01447371462249758,0.008770235231063562,-0.2529690171048459,0.0,-0.01722662649977247,-0.04192602177737281,-0.0006134082031250543,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.008456391268708906,-0.2948950388822187,-0.0006134082031250543,0.02894742924499516
0.4500,-1.969291,0.639545,3.964505,-0.008988,-0.045544,-0.00045,-1.536141,0.253121,-2.952026605606079,0.6472628712654114,4.965047836303711,-0.018429052084684372,-0.02142038382589817,-0.000812732963822782,-1.550623893737793,-0.00019252137281000614,-2.968690564259172,0.6048966095817275,4.964505,-0.01666395865309278,-0.04236626168368385,-0.0005428363037109918,0.01448289373779299,0.008770235231063562,-0.2529690171048459,0.0,-0.01666395865309278,-0.04236626168368385,-0.0005428363037109918,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.007893723422029219,-0.2953352787885297,-0.0005428363037109918,0.02896578747558598
0.5000,-1.9692942499999948,0.6390152500008349,3.9645088999999936,-0.008451750000845176,-0.05066794999192422,-0.0004649499999764375,-1.536141,0.253121,-2.952026605606079,0.6472628712654114,4.965047836303711,-0.018429052084684372,-0.02142038382589817,-0.000812732963822782,-1.550623893737793,-0.00019252137281000614,-2.968693814259167,0.6043668595825624,4.964508899999993,-0.016667208653087684,-0.042896011682848956,-0.0005389363037178185,0.01448289373779299,0.008770235231063562,-0.2529690171048459,0.0,-0.016667208653087684,-0.042896011682848956,-0.0005389363037178185,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.007896973422024122,-0.29586502878769483,-0.0005389363037178185,0.02896578747558598
