timestamp_unix,t,drone,label,tx,ty,tz,x,y,z,ex,ey,ez,dist_xy,dist_z,speed,in_zone
1780342735.129837,0.0000,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0713,-0.0296,0.0419,-0.0713,0.0513,0.0713,0.0224,1
1780342735.192933,0.0620,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0713,-0.0296,0.0419,-0.0713,0.0513,0.0713,0.0224,1
1780342735.231354,0.0940,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0224,1
1780342735.287700,0.1560,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0224,1
1780342735.332445,0.2030,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0224,1
1780342735.379912,0.2500,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0224,1
1780342735.430593,0.2970,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0224,1
1780342735.485716,0.3590,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0000,1
1780342735.527549,0.3910,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0714,-0.0296,0.0419,-0.0714,0.0513,0.0714,0.0000,1
1780342735.587053,0.4530,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0608,-0.0296,0.0419,-0.0608,0.0513,0.0608,0.0000,1
1780342735.634406,0.5000,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0608,-0.0296,0.0419,-0.0608,0.0513,0.0608,0.0000,1
1780342735.684845,0.5470,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0419,3.0608,-0.0296,0.0419,-0.0608,0.0513,0.0608,0.0000,1
1780342735.738494,0.6090,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342735.780001,0.6410,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342735.839698,0.7030,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342735.887132,0.7500,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342735.937934,0.8120,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342735.976455,0.8440,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342736.033581,0.9060,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0314,3.0329,-0.0296,0.0314,-0.0329,0.0432,0.0329,0.0141,1
1780342736.078087,0.9370,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0210,3.0329,-0.0296,0.0210,-0.0329,0.0363,0.0329,0.0224,1
1780342736.141550,1.0160,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9704,-0.0210,3.0027,-0.0296,0.0210,-0.0027,0.0363,0.0027,0.0224,1
1780342736.259011,1.1250,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,3.0027,-0.0185,0.0105,-0.0027,0.0212,0.0027,0.0224,1
1780342736.259011,1.1250,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,3.0027,-0.0185,0.0105,-0.0027,0.0212,0.0027,0.0224,1
1780342736.286042,1.1560,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,2.9796,-0.0185,0.0105,0.0204,0.0212,0.0204,0.0224,1
1780342736.330334,1.2030,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,2.9796,-0.0185,0.0105,0.0204,0.0212,0.0204,0.0224,1
1780342736.378025,1.2500,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,2.9796,-0.0185,0.0105,0.0204,0.0212,0.0204,0.0224,1
1780342736.428743,1.2970,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9815,-0.0105,2.9796,-0.0185,0.0105,0.0204,0.0212,0.0204,0.0224,1
1780342736.483290,1.3440,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9927,0.0000,2.9796,-0.0073,0.0000,0.0204,0.0073,0.0204,0.0141,1
1780342736.539767,1.4060,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9927,0.0000,2.9691,-0.0073,0.0000,0.0309,0.0073,0.0309,0.0141,1
1780342736.584278,1.4530,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9927,0.0000,2.9691,-0.0073,0.0000,0.0309,0.0073,0.0309,0.0141,1
1780342736.632025,1.5000,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9927,0.0000,2.9691,-0.0073,0.0000,0.0309,0.0073,0.0309,0.0141,1
1780342736.685389,1.5470,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-4.9927,0.0000,2.9691,-0.0073,0.0000,0.0309,0.0073,0.0309,0.0141,1
1780342736.739174,1.6090,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0000,2.9719,0.0038,0.0000,0.0281,0.0038,0.0281,0.0100,1
1780342736.780837,1.6410,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0000,2.9719,0.0038,0.0000,0.0281,0.0038,0.0281,0.0100,1
1780342736.840462,1.7030,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0000,2.9719,0.0038,0.0000,0.0281,0.0038,0.0281,0.0100,1
1780342736.888425,1.7500,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0000,2.9719,0.0038,0.0000,0.0281,0.0038,0.0281,0.0100,1
1780342736.938957,1.8120,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0000,2.9719,0.0038,0.0000,0.0281,0.0038,0.0281,0.0100,1
1780342736.980241,1.8440,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0105,2.9719,0.0038,-0.0105,0.0281,0.0111,0.0281,0.0000,1
1780342737.037188,1.9060,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0105,2.9828,0.0038,-0.0105,0.0172,0.0111,0.0172,0.0000,1
1780342737.081903,1.9530,follower,SEGUIDOR prepos,-5.0000,0.0000,3.0000,-5.0038,0.0105,2.9828,0.0038,-0.0105,0.0172,0.0111,0.0172,0.0000,1
