timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,l_lat,l_lon,l_alt,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,s_lat,s_lon,s_alt,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779678035.411808,0.0000,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7107,-0.0012,0.0000,0.0000,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1957,0.0000,-0.0200,-0.0001,-0.8109,-0.0004,19.59422490,-99.22811490,1.196,-1.3047,-1.5159,5.0915,0.1520,-0.2064,3.8959,0.2563,3.8959,0.1003,1.9587,2.8959,-0.0019,0.0016,0.0760,-0.1032,1.9479,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0741,-0.1016,1.0000,0.0801
1779678035.565163,0.1570,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7107,-0.0012,0.0001,-0.0240,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1957,0.0000,-0.0200,-0.0001,-0.8109,-0.0004,19.59422490,-99.22811490,1.196,-1.3047,-1.5159,5.0915,0.1520,-0.2064,3.8959,0.2563,3.8959,0.1003,1.9587,2.8959,-0.0019,0.0016,0.0760,-0.1032,1.9479,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0741,-0.1016,1.0000,0.0801
1779678035.568368,0.1570,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0002,-0.0360,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1957,0.0000,-0.0200,-0.0001,-0.8109,-0.0004,19.59422490,-99.22811490,1.196,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8959,0.2553,3.8959,0.0998,1.9587,2.8959,-0.0242,0.0208,0.0756,-0.1029,1.9479,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0782
1779678035.568368,0.1570,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0002,-0.0360,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1957,0.0000,-0.0200,-0.0001,-0.8109,-0.0004,19.59422490,-99.22811490,1.196,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8958,0.2553,3.8958,0.0998,1.9587,2.8958,-0.0242,0.0208,0.0756,-0.1029,1.9479,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0782
1779678035.612189,0.2040,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0019,-0.1080,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1957,0.0000,-0.0200,-0.0001,-0.8109,-0.0004,19.59422490,-99.22811490,1.196,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8958,0.2553,3.8958,0.0998,1.9587,2.8958,-0.0242,0.0208,0.0756,-0.1029,1.9479,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0782
1779678035.658696,0.2500,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0029,-0.1320,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1997,0.0100,-0.0300,0.0620,-0.8059,0.0579,19.59422490,-99.22811490,1.200,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8919,0.2553,3.8919,0.0947,1.9587,2.8919,-0.0242,0.0208,0.0756,-0.1029,1.9459,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0684
1779678035.714279,0.3130,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0041,-0.1559,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1997,0.0100,-0.0300,0.0620,-0.8059,0.0579,19.59422490,-99.22811490,1.200,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8919,0.2553,3.8919,0.0947,1.9587,2.8919,-0.0242,0.0208,0.0756,-0.1029,1.9459,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0684
1779678035.759709,0.3600,circle,0.0000,0.0000,4.0915,0.0000,-0.0200,-0.0015,-0.7112,-0.0160,0.0061,-0.1919,19.59423800,-99.22810240,4.092,-1.4567,-1.3094,1.1997,0.0100,-0.0300,0.0620,-0.8059,0.0579,19.59422490,-99.22811490,1.200,-1.3055,-1.5152,5.0915,0.1512,-0.2057,3.8919,0.2553,3.8919,0.0947,1.9587,2.8919,-0.0242,0.0208,0.0756,-0.1029,1.9459,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0514,-0.0820,1.0000,0.0684
1779678035.804639,0.4070,circle,0.0000,0.0105,4.0915,-0.0300,0.1200,-0.0024,-0.7966,-0.8226,0.0078,-0.2158,19.59423800,-99.22810230,4.091,-1.4567,-1.3094,1.1997,0.0100,-0.0300,0.0620,-0.8059,0.0579,19.59422490,-99.22811490,1.200,-1.4300,-1.3878,5.0915,0.0267,-0.0784,3.8918,0.0828,3.8918,0.0093,1.9657,2.8918,-1.1502,1.1762,0.0133,-0.0392,1.9459,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-1.1368,1.1370,1.0000,-0.0806
1779678035.850380,0.4540,circle,0.0000,0.0105,4.0915,-0.0300,0.1200,-0.0024,-0.7966,-0.8226,0.0106,-0.2517,19.59423800,-99.22810230,4.091,-1.4567,-1.3094,1.1997,0.0100,-0.0300,0.0620,-0.8059,0.0579,19.59422490,-99.22811490,1.200,-1.4300,-1.3878,5.0915,0.0267,-0.0784,3.8918,0.0828,3.8918,0.0093,1.9657,2.8918,-1.1502,1.1762,0.0133,-0.0392,1.9459,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-1.1368,1.1370,1.0000,-0.0806
