t,radio,rssi_l_raw,rssi_r_raw,noise_l_raw,noise_r_raw,rssi_l_dbm,rssi_r_dbm,noise_l_dbm,noise_r_dbm,snr_l,snr_r,rxerrors,fixed,txbuf,plr,lat_est_ms
94.094,SEGUIDOR,200,207,97,66,-21.7,-18.1,-75.9,-92.3,54.2,74.2,358,0,100,0.0,13.1
94.594,SEGUIDOR,205,207,66,50,-19.1,-18.1,-92.3,-100.7,73.2,82.6,358,0,100,0.0,13.1
95.094,SEGUIDOR,204,207,79,52,-19.6,-18.1,-85.4,-99.6,65.8,81.5,358,0,100,0.0,13.1
95.61,SEGUIDOR,205,207,46,87,-19.1,-18.1,-102.8,-81.2,83.7,63.1,358,0,100,0.0,13.1
96.11,SEGUIDOR,205,207,57,87,-19.1,-18.1,-97.0,-81.2,77.9,63.1,358,0,100,0.0,13.1
96.61,SEGUIDOR,205,207,64,57,-19.1,-18.1,-93.3,-97.0,74.2,78.9,358,0,100,0.0,13.1
97.11,SEGUIDOR,206,207,59,57,-18.6,-18.1,-95.9,-97.0,77.3,78.9,358,0,100,0.0,13.1
97.625,SEGUIDOR,205,207,59,98,-19.1,-18.1,-95.9,-75.4,76.8,57.3,358,0,100,0.0,13.1
98.125,SEGUIDOR,205,207,73,98,-19.1,-18.1,-88.6,-75.4,69.5,57.3,358,0,100,0.0,13.1
98.625,SEGUIDOR,204,207,58,53,-19.6,-18.1,-96.5,-99.1,76.9,81.0,359,0,100,1.0,13.1
99.125,SEGUIDOR,205,207,56,56,-19.1,-18.1,-97.5,-97.5,78.4,79.4,359,0,100,0.0,13.1
99.641,SEGUIDOR,205,207,60,54,-19.1,-18.1,-95.4,-98.6,76.3,80.5,359,0,100,0.0,13.1
100.141,SEGUIDOR,205,207,97,54,-19.1,-18.1,-75.9,-98.6,56.8,80.5,359,0,100,0.0,13.1
100.641,SEGUIDOR,205,207,59,68,-19.1,-18.1,-95.9,-91.2,76.8,73.1,359,0,100,0.0,13.1
101.141,SEGUIDOR,205,207,72,68,-19.1,-18.1,-89.1,-91.2,70.0,73.1,359,0,100,0.0,13.1
101.657,SEGUIDOR,206,208,86,48,-18.6,-17.5,-81.7,-101.7,63.1,84.2,360,0,100,1.0,13.1
102.157,SEGUIDOR,206,208,63,48,-18.6,-17.5,-93.8,-101.7,75.2,84.2,360,0,100,0.0,13.1
102.657,SEGUIDOR,205,208,58,82,-19.1,-17.5,-96.5,-83.8,77.4,66.3,360,0,100,0.0,13.1
103.157,SEGUIDOR,205,208,53,82,-19.1,-17.5,-99.1,-83.8,80.0,66.3,360,0,100,0.0,13.1
103.657,SEGUIDOR,205,208,50,66,-19.1,-17.5,-100.7,-92.3,81.6,74.8,360,0,100,0.0,13.1
