time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,lz_sp,lex,ley,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.030951,-0.594223,6.958325,0.0,0.0,-5.021557807922363,-0.5543508529663086,7.958826541900635,-0.01314013171941042,-0.022284241393208504,-0.0005323634250089526,-1.5858635902404785,-0.0004829049576073885,-5.030835000308411,-0.5789919157559162,7.958325,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.00016440975952147774,-4.173317082878921e-06,-0.0002739682160845045,0.0,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.009281365703130396,-0.024915031005692152,-0.0005015419006344501,-0.0003288195190429555
0.1000,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.030215999999344,-0.6694179000327765,6.958325,0.0007360000006556511,-0.0751949000327764,-5.021557807922363,-0.5543508529663086,7.958826541900635,-0.01314013171941042,-0.022284241393208504,-0.0005323634250089526,-1.5858635902404785,-0.0004829049576073885,-5.030835000308411,-0.5789919157559162,7.958325,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.00016440975952147774,-4.173317082878921e-06,-0.0002739682160845045,0.0,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.009281365703130396,-0.024915031005692152,-0.0005015419006344501,-0.0003288195190429555
0.1500,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.027048000000984,-0.7701644999776699,6.958325,0.0039034999990172218,-0.17594149997766992,-5.021557807922363,-0.5543508529663086,7.958826541900635,-0.01314013171941042,-0.022284241393208504,-0.0005323634250089526,-1.5858635902404785,-0.0004829049576073885,-5.030835000308411,-0.5789919157559162,7.958325,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.00016440975952147774,-4.173317082878921e-06,-0.0002739682160845045,0.0,-0.009277192386047517,-0.02464106278960765,-0.0005015419006344501,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.009281365703130396,-0.024915031005692152,-0.0005015419006344501,-0.0003288195190429555
0.2000,-4.030951,-0.594223,6.958325,0.016568,0.018291,-0.000428,-1.586028,0.000274,-4.024585050005272,-0.8197030999122424,6.958325,0.006365949994727735,-0.22548009991224247,-5.021050930023193,-0.554731547832489,7.958921432495117,-0.012629764154553413,-0.022221092134714127,-0.00026305526262149215,-1.585876703262329,-0.0007692496292293072,-5.030835000308411,-0.5789919157559162,7.958325,-0.009784070285217439,-0.02426036792342723,-0.000596432495116872,-0.0001512967376708918,-4.173317082878921e-06,-0.0002739682160845045,0.0,-0.009784070285217439,-0.02426036792342723,-0.000596432495116872,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.009788243602300318,-0.024534336139511732,-0.000596432495116872,-0.0003025934753417836
0.2500,-4.030905850000308,-0.5943279999992829,6.95833234999995,0.01614035000292072,0.015409650019678763,-0.0004217000000430271,-1.577474,0.124785,-4.01775525000275,-0.9186650499673331,6.958325,0.013150599997557699,-0.32433704996805035,-5.021050930023193,-0.554731547832489,7.958921432495117,-0.012629764154553413,-0.022221092134714127,-0.00026305526262149215,-1.585876703262329,-0.0007692496292293072,-5.03088355442344,-0.5876503764217786,7.95833234999995,-0.009832624400246459,-0.03291882858928963,-0.0005890824951668705,0.008402703262329059,-0.0008332672581188595,-0.12478221784644054,0.0,-0.009832624400246459,-0.03291882858928963,-0.0005890824951668705,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.010665891658365319,-0.15770104643573019,-0.0005890824951668705,0.016805406524658117
0.3000,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-4.0109365,-0.993553,6.958325,0.019713500000000002,-0.398631,-5.021050930023193,-0.554731547832489,7.958921432495117,-0.012629764154553413,-0.022221092134714127,-0.00026305526262149215,-1.585876703262329,-0.0007692496292293072,-5.030627704423132,-0.5882453764224957,7.958374,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,0.008402703262329059,-0.0008332672581188595,-0.12478221784644054,0.0,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01041004165805773,-0.1582960464364473,-0.0005474324951171283,0.016805406524658117
0.3500,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.9996133000068195,-1.0937120999452896,6.958325,0.031036699993180577,-0.4987890999452895,-5.021050930023193,-0.554731547832489,7.958921432495117,-0.012629764154553413,-0.022221092134714127,-0.00026305526262149215,-1.585876703262329,-0.0007692496292293072,-5.030627704423132,-0.5882453764224957,7.958374,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,0.008402703262329059,-0.0008332672581188595,-0.12478221784644054,0.0,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01041004165805773,-0.1582960464364473,-0.0005474324951171283,0.016805406524658117
0.4000,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.989551000003119,-1.1682339999778677,6.958325,0.041098999996881234,-0.5733109999778676,-5.021050930023193,-0.554731547832489,7.958921432495117,-0.012629764154553413,-0.022221092134714127,-0.00026305526262149215,-1.585876703262329,-0.0007692496292293072,-5.030627704423132,-0.5882453764224957,7.958374,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,0.008402703262329059,-0.0008332672581188595,-0.12478221784644054,0.0,-0.00957677439993887,-0.03351382859000673,-0.0005474324951171283,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01041004165805773,-0.1582960464364473,-0.0005474324951171283,0.016805406524658117
0.4500,-4.03065,-0.594923,6.958374,0.013717,-0.000918,-0.000386,-1.577474,0.124785,-3.9820979500136575,-1.217270599913149,6.958325,0.048552599986339914,-0.6223480499131518,-5.020225524902344,-0.5555106997489929,7.959026336669922,-0.011878048069775105,-0.03181518241763115,-0.00026557251112535596,-1.5856200456619263,0.004447703715413809,-5.030627704423132,-0.5882453764224957,7.958374,-0.01040217952078848,-0.03273467667350283,-0.0006523366699218158,0.008146045661926227,-0.0008332672581188595,-0.12478221784644054,0.0,-0.01040217952078848,-0.03273467667350283,-0.0006523366699218158,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01123544677890734,-0.15751689451994338,-0.0006523366699218158,0.016292091323852453
0.5000,-4.03103739999939,-0.6084039999787527,6.958373350000001,0.014012099999534898,-0.09351959985405198,-0.0007207499994724055,-1.498739,0.459204,-3.965435150005869,-1.315057949967747,6.958325,0.06560159999352135,-0.7066539499889943,-5.020225524902344,-0.5555106997489929,7.959026336669922,-0.011878048069775105,-0.03181518241763115,-0.00026557251112535596,-1.5856200456619263,0.004447703715413809,-5.028442393947023,-0.6803989862508626,7.958373350000001,-0.008216869044678887,-0.12488828650186967,-0.00065298666992053,0.08688104566192621,0.03306038567609796,-0.4580123628407291,0.0,-0.008216869044678887,-0.12488828650186967,-0.00065298666992053,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.024843516631419073,-0.5829006493425988,-0.00065298666992053,0.17376209132385242
