t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.829110,0.456551,5.000282,0.000000,0.000000
0.02000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.828982,0.424551,5.000282,0.000128,-0.032000
0.04000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.828598,0.392554,5.000282,0.000512,-0.063997
0.06000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.827958,0.360560,5.000282,0.001152,-0.095991
0.08000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.827062,0.328573,5.000282,0.002048,-0.127978
0.10000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.825910,0.296594,5.000282,0.003200,-0.159957
0.12000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.824503,0.264625,5.000282,0.004607,-0.191926
0.14000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.822839,0.232668,5.000282,0.006270,-0.223883
0.16000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.820920,0.200726,5.000282,0.008189,-0.255825
0.18000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.818746,0.168800,5.000282,0.010364,-0.287751
0.20000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.574506,-0.000160,-5.816316,0.136892,5.000282,0.012793,-0.319659
0.22000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.565144,0.127012,-5.813632,0.105005,5.000282,0.015478,-0.351546
0.24000,-5.829110,0.456551,5.000282,0.008216,0.007918,-0.000012,-1.565144,0.127012,-5.810692,0.073140,5.000282,0.018418,-0.383410
0.26000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.807497,0.041300,5.000282,0.021815,-0.413801
0.28000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.804048,0.009487,5.000282,0.025264,-0.445614
0.30000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.800344,-0.022298,5.000282,0.028968,-0.477399
0.32000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.796386,-0.054052,5.000282,0.032926,-0.509153
0.34000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.792175,-0.085774,5.000282,0.037138,-0.540875
0.36000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.787709,-0.117461,5.000282,0.041603,-0.572562
0.38000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.782991,-0.149111,5.000282,0.046322,-0.604212
0.40000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.778019,-0.180722,5.000282,0.051294,-0.635823
0.42000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.772794,-0.212292,5.000282,0.056518,-0.667394
0.44000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.767317,-0.243820,5.000282,0.061995,-0.698921
0.46000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.565144,0.127012,-5.761588,-0.275303,5.000282,0.067724,-0.730404
0.48000,-5.829312,0.455101,5.000027,0.006671,-0.018119,-0.000292,-1.485709,0.462093,-5.755608,-0.306739,5.000282,0.073704,-0.761840
0.50000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.749376,-0.338126,5.000282,0.080207,-0.769473
0.52000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.742893,-0.369463,5.000282,0.086690,-0.800809
0.54000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.736160,-0.400746,5.000282,0.093423,-0.832093
0.56000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.729177,-0.431975,5.000282,0.100406,-0.863321
0.58000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.721944,-0.463147,5.000282,0.107639,-0.894493
0.60000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.714462,-0.494260,5.000282,0.115121,-0.925606
0.62000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.706731,-0.525312,5.000282,0.122852,-0.956658
0.64000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.698752,-0.556301,5.000282,0.130831,-0.987647
0.66000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.690525,-0.587225,5.000282,0.139057,-1.018572
0.68000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.682052,-0.618083,5.000282,0.147531,-1.049429
0.70000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.673331,-0.648872,5.000282,0.156251,-1.080218
0.72000,-5.829583,0.431346,4.999693,0.013052,-0.175485,-0.000748,-1.485709,0.462093,-5.664365,-0.679590,5.000282,0.165218,-1.110936
0.74000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.655153,-0.710235,5.000282,0.171031,-1.066308
0.76000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.645697,-0.740806,5.000282,0.180488,-1.096879
0.78000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.635996,-0.771300,5.000282,0.190189,-1.127373
0.80000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.626051,-0.801715,5.000282,0.200133,-1.157788
0.82000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.615864,-0.832050,5.000282,0.210321,-1.188123
0.84000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.605434,-0.862303,5.000282,0.220751,-1.218376
0.86000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.594762,-0.892471,5.000282,0.231422,-1.248544
0.88000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.583850,-0.922553,5.000282,0.242335,-1.278626
0.90000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.572697,-0.952546,5.000282,0.253488,-1.308619
0.92000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.561305,-0.982449,5.000282,0.264880,-1.338522
0.94000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.549673,-1.012261,5.000282,0.276512,-1.368334
0.96000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.352189,0.534651,-5.537804,-1.041978,5.000282,0.288381,-1.398051
0.98000,-5.826185,0.356073,4.999389,0.042665,-0.425705,-0.000199,-1.233484,0.410799,-5.525697,-1.071599,5.000282,0.300488,-1.427672
1.00000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.513354,-1.101122,5.000282,0.298414,-1.317570
1.02000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.500774,-1.130546,5.000282,0.310994,-1.346994
1.04000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.487960,-1.159868,5.000282,0.323808,-1.376316
1.06000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.474912,-1.189087,5.000282,0.336856,-1.405535
1.08000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.461630,-1.218201,5.000282,0.350138,-1.434648
1.10000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.448116,-1.247207,5.000282,0.363652,-1.463654
1.12000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.434371,-1.276104,5.000282,0.377397,-1.492551
1.14000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.420394,-1.304891,5.000282,0.391374,-1.521338
1.16000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.406188,-1.333564,5.000282,0.405580,-1.550011
1.18000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.391753,-1.362123,5.000282,0.420015,-1.578570
1.20000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.377089,-1.390566,5.000282,0.434679,-1.607013
1.22000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.362199,-1.418890,5.000282,0.449569,-1.635338
1.24000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.347083,-1.447095,5.000282,0.464685,-1.663542
1.26000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.331741,-1.475177,5.000282,0.480027,-1.691625
1.28000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.316175,-1.503136,5.000282,0.495593,-1.719583
1.30000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.300386,-1.530970,5.000282,0.511382,-1.747417
1.32000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.284375,-1.558676,5.000282,0.527393,-1.775123
1.34000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.268143,-1.586253,5.000282,0.543625,-1.802701
1.36000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.251691,-1.613700,5.000282,0.560077,-1.830147
1.38000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.233484,0.410799,-5.235019,-1.641014,5.000282,0.576749,-1.857461
1.40000,-5.811768,0.216447,4.999348,0.099456,-0.693872,0.000960,-1.137262,0.424896,-5.218130,-1.668194,5.000282,0.593638,-1.884641
1.42000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.201024,-1.695238,5.000282,0.579712,-1.709347
1.44000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.183702,-1.722144,5.000282,0.597034,-1.736253
1.46000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.166165,-1.748911,5.000282,0.614571,-1.763020
1.48000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.148415,-1.775536,5.000282,0.632321,-1.789646
1.50000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.130452,-1.802019,5.000282,0.650284,-1.816128
1.52000,-5.780736,0.014109,4.999458,0.186569,-0.946263,0.001047,-1.137262,0.424896,-5.112278,-1.828357,5.000282,0.668458,-1.842467
