time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.914573073387146,2.7931501865386963,2.9652175903320312,0.0010435831500217319,-0.004737439565360546,-0.00035163492430001497,-1.59871244430542,0.0011574076488614082,-0.9194398394683635,2.7796914479660058,2.965064,-0.0048667660812174995,-0.013458738572690532,-0.0001535903320313281,8.444430541998395e-05,0.0003738551587696431,-1.0407702019416027e-05,0.0,-0.0024333830406087498,-0.006729369286345266,-7.679516601566405e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0020595278818391067,-0.006739776988364682,-7.679516601566405e-05,6.755544433598717e-05
0.1000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.914573073387146,2.7931501865386963,2.9652175903320312,0.0010435831500217319,-0.004737439565360546,-0.00035163492430001497,-1.59871244430542,0.0011574076488614082,-0.9194398394683635,2.7796914479660058,2.965064,-0.0048667660812174995,-0.013458738572690532,-0.0001535903320313281,8.444430541998395e-05,0.0003738551587696431,-1.0407702019416027e-05,0.0,-0.0024333830406087498,-0.006729369286345266,-7.679516601566405e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0020595278818391067,-0.006739776988364682,-7.679516601566405e-05,6.755544433598717e-05
0.1500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.914573073387146,2.7931501865386963,2.9652175903320312,0.0010435831500217319,-0.004737439565360546,-0.00035163492430001497,-1.59871244430542,0.0011574076488614082,-0.9194398394683635,2.7796914479660058,2.965064,-0.0048667660812174995,-0.013458738572690532,-0.0001535903320313281,8.444430541998395e-05,0.0003738551587696431,-1.0407702019416027e-05,0.0,-0.0024333830406087498,-0.006729369286345266,-7.679516601566405e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0020595278818391067,-0.006739776988364682,-7.679516601566405e-05,6.755544433598717e-05
0.2000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.914573073387146,2.7931501865386963,2.9652175903320312,0.0010435831500217319,-0.004737439565360546,-0.00035163492430001497,-1.59871244430542,0.0011574076488614082,-0.9194398394683635,2.7796914479660058,2.965064,-0.0048667660812174995,-0.013458738572690532,-0.0001535903320313281,8.444430541998395e-05,0.0003738551587696431,-1.0407702019416027e-05,0.0,-0.0024333830406087498,-0.006729369286345266,-7.679516601566405e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0020595278818391067,-0.006739776988364682,-7.679516601566405e-05,6.755544433598717e-05
0.2500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.914573073387146,2.7931501865386963,2.9652175903320312,0.0010435831500217319,-0.004737439565360546,-0.00035163492430001497,-1.5986703634262085,5.134986713528633e-05,-0.9194398394683635,2.7796914479660058,2.965064,-0.0048667660812174995,-0.013458738572690532,-0.0001535903320313281,4.236342620855816e-05,0.0003738551587696431,-1.0407702019416027e-05,0.0,-0.0024333830406087498,-0.006729369286345266,-7.679516601566405e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0020595278818391067,-0.006739776988364682,-7.679516601566405e-05,3.389074096684653e-05
0.3000,-0.9750265,0.780189,2.965093,-0.016257,-0.025270499999999998,-2.650000000000002e-05,-1.580506,0.243214,-0.9184305667877197,2.7879109382629395,2.965176820755005,0.0035120209213346243,-0.001399392494931817,-0.00013090114225633442,-1.5986703634262085,5.134986713528633e-05,-0.9556074587237479,2.780094722986939,2.965093,-0.037176891936028134,-0.007816215276000626,-8.382075500490416e-05,0.01816436342620853,-0.48640507051054543,0.0047229827049623955,0.0,-0.018588445968014067,-0.003908107638000313,-4.191037750245208e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.5049935164785595,0.0008148750669620822,-4.191037750245208e-05,0.014531490740966824
0.3500,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9184305667877197,2.7879109382629395,2.965176820755005,0.0035120209213346243,-0.001399392494931817,-0.00013090114225633442,-1.5986703634262085,5.134986713528633e-05,-0.9555379587237478,2.779817722986939,2.965122,-0.03710739193602808,-0.008093215276000265,-5.48207550048474e-05,0.01816436342620853,-0.48640507051054543,0.0047229827049623955,0.0,-0.01855369596801404,-0.004046607638000133,-2.74103775024237e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5049587664785595,0.0006763750669622629,-2.74103775024237e-05,0.014531490740966824
0.4000,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9184305667877197,2.7879109382629395,2.965176820755005,0.0035120209213346243,-0.001399392494931817,-0.00013090114225633442,-1.5986703634262085,5.134986713528633e-05,-0.9555379587237478,2.779817722986939,2.965122,-0.03710739193602808,-0.008093215276000265,-5.48207550048474e-05,0.01816436342620853,-0.48640507051054543,0.0047229827049623955,0.0,-0.01855369596801404,-0.004046607638000133,-2.74103775024237e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5049587664785595,0.0006763750669622629,-2.74103775024237e-05,0.014531490740966824
0.4500,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9184305667877197,2.7879109382629395,2.965176820755005,0.0035120209213346243,-0.001399392494931817,-0.00013090114225633442,-1.5986703634262085,5.134986713528633e-05,-0.9555379587237478,2.779817722986939,2.965122,-0.03710739193602808,-0.008093215276000265,-5.48207550048474e-05,0.01816436342620853,-0.48640507051054543,0.0047229827049623955,0.0,-0.01855369596801404,-0.004046607638000133,-2.74103775024237e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5049587664785595,0.0006763750669622629,-2.74103775024237e-05,0.014531490740966824
0.5000,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9225375056266785,2.7833034992218018,2.9651575088500977,-0.021025726571679115,0.0017751441337168217,-0.0003179780032951385,-1.5980929136276245,0.0088252704590559,-0.9555379587237478,2.779817722986939,2.965122,-0.03300045309706934,-0.00348577623486257,-3.5508850097620837e-05,0.017586913627624542,-0.48640507051054543,0.0047229827049623955,0.0,-0.01650022654853467,-0.001742888117431285,-1.7754425048810418e-05,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.5029052970590802,0.0029800945875311105,-1.7754425048810418e-05,0.014069530902099635
