timestamp_unix,t,phase,lx,ly,lz,l_yaw,sx,sy,sz,s_yaw
1780118864.733020,0.0000,init,0.0000,0.0000,1.9995,0.0002,0.0000,0.0000,0.0000,-0.0119
1780118864.852917,0.1250,init,-4.0141,0.0210,1.9995,0.0002,0.0000,0.0000,0.0546,-0.0119
1780118864.959668,0.2350,init,-4.0141,0.0210,1.9995,0.0002,0.0000,0.0000,0.0546,-0.0119
1780118865.075416,0.3440,init,-4.0141,0.0210,1.9995,0.0002,-5.0038,0.0210,0.0546,-0.0119
1780118865.208875,0.4850,init,-4.0141,0.0210,1.9995,0.0002,-5.0038,0.0210,0.0546,-0.0119
1780118865.316889,0.5940,init,-4.0141,0.0210,1.9995,0.0002,-5.0038,0.0210,0.0546,-0.0120
1780118865.428525,0.7040,init,-4.0141,0.0210,1.9996,0.0002,-5.0038,0.0210,0.0546,-0.0120
1780118865.540209,0.8130,init,-4.0141,0.0210,1.9996,0.0002,-5.0038,0.0210,0.0546,-0.0120
1780118865.648474,0.9220,init,-4.0141,0.0210,1.9999,0.0002,-5.0038,0.0210,0.0546,-0.0120
1780118865.759272,1.0320,init,-4.0141,0.0210,1.9999,0.0002,-5.0038,0.0210,0.0546,-0.0121
1780118865.868375,1.1410,init,-4.0141,0.0210,2.0003,0.0002,-5.0038,0.0210,0.0546,-0.0121
1780118865.982832,1.2500,init,-4.0141,0.0210,2.0003,0.0002,-5.0038,0.0210,0.0546,-0.0121
1780118866.098815,1.3750,init,-4.0141,0.0210,2.0007,0.0002,-5.0038,0.0210,0.0546,-0.0121
1780118866.208626,1.4850,init,-4.0141,0.0210,2.0007,0.0002,-5.0038,0.0210,0.0546,-0.0121
1780118866.316076,1.5940,init,-4.0141,0.0210,2.0011,0.0002,-5.0038,0.0210,0.0546,-0.0122
1780118866.424211,1.7040,init,-4.0141,0.0210,2.0011,0.0002,-5.0038,0.0210,0.0546,-0.0122
1780118866.533317,1.8130,init,-4.0141,0.0210,2.0011,0.0002,-5.0038,0.0210,0.0546,-0.0122
1780118866.727446,2.0000,init,-4.0141,0.0210,2.0014,0.0001,-5.0038,0.0210,0.0546,-0.0122
1780118866.844079,2.1250,init,-4.0141,0.0210,2.0017,0.0003,-5.0038,0.0210,0.0546,-0.0123
1780118866.955667,2.2350,init,-4.0141,0.0210,2.0017,0.0003,-5.0038,0.0210,0.0546,-0.0123
1780118867.069880,2.3440,init,-4.0141,0.0210,2.0017,0.0001,-5.0038,0.0210,0.0546,-0.0123
1780118867.171883,2.4380,init,-4.0141,0.0210,2.0018,0.0001,-5.0038,0.0210,0.0546,-0.0123
1780118867.275911,2.5470,init,-4.0141,0.0210,2.0018,0.0001,-5.0038,0.0210,0.0546,-0.0124
1780118867.379543,2.6570,init,-4.0141,0.0210,2.0016,0.0002,-5.0038,0.0210,0.0546,-0.0124
1780118867.479884,2.7500,init,-4.0141,0.0210,2.0016,0.0002,-5.0038,0.0210,0.0546,-0.0124
1780118867.586086,2.8600,init,-4.0141,0.0210,2.0012,0.0002,-5.0038,0.0210,0.0546,-0.0124
1780118867.696197,2.9690,init,-4.0141,0.0210,2.0012,0.0002,-5.0038,0.0210,0.0546,-0.0124
1780118867.845581,3.1250,init,-4.0141,0.0210,2.0012,0.0002,-5.0038,0.0210,0.0546,-0.0124
1780118867.948206,3.2190,init,-4.0141,0.0210,2.0009,0.0002,-5.0038,0.0210,0.0545,-0.0124
1780118868.072812,3.3440,init,-4.0141,0.0210,2.0009,0.0002,-5.0038,0.0210,0.0545,-0.0125
1780118868.178910,3.4540,takeoff_L,-4.0141,0.0210,2.0006,0.0002,-5.0038,0.0210,0.0545,-0.0125
1780118868.289246,3.5630,takeoff_L,-4.0141,0.0210,2.0006,0.0003,-5.0038,0.0210,0.0545,-0.0125
1780118868.413604,3.6880,takeoff_L,-4.0141,0.0210,2.0004,0.0003,-5.0038,0.0210,0.0545,-0.0125
1780118868.524683,3.7970,takeoff_L,-4.0141,0.0210,2.0004,0.0003,-5.0038,0.0210,0.0545,-0.0126
1780118868.642669,3.9220,takeoff_L,-4.0141,0.0210,2.0003,0.0002,-5.0038,0.0210,0.0545,-0.0126
1780118868.757554,4.0320,takeoff_L,-4.0141,0.0210,2.0003,0.0002,-5.0038,0.0210,0.0545,-0.0126
1780118868.866436,4.1410,takeoff_L,-4.0141,0.0210,2.0002,0.0001,-5.0038,0.0210,0.0545,-0.0126
