timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779479630.473567,0.0000,circle,0.0342,0.1734,1.4584,-0.0158,-0.0172,-0.0004,-1.5778,-0.0010,0.0342,0.1734,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9657,0.1875,2.4584,-0.0281,-0.0629,0.0016,0.0689,0.0016,0.0283,1.9734,0.9984,0.0000,0.0020,-0.0140,-0.0315,0.0008,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0140,-0.0294,0.0008,0.0226
1779479630.555754,0.0940,circle,0.0353,0.1737,1.4584,-0.0158,-0.0172,-0.0005,-1.5777,0.0027,0.0346,0.1254,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9647,0.1876,2.4584,-0.0270,-0.0628,0.0016,0.0684,0.0016,0.0285,1.9744,0.9984,-0.0000,-0.0053,-0.0135,-0.0314,0.0008,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0136,-0.0367,0.0008,0.0231
1779479630.573846,0.1090,circle,0.0353,0.1737,1.4584,-0.0158,-0.0172,-0.0005,-1.5776,0.0070,0.0348,0.1134,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9647,0.1872,2.4584,-0.0270,-0.0632,0.0016,0.0687,0.0016,0.0286,1.9744,0.9984,-0.0001,-0.0140,-0.0135,-0.0316,0.0008,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0136,-0.0456,0.0008,0.0236
1779479630.615391,0.1560,circle,0.0357,0.1736,1.4585,-0.0151,-0.0179,-0.0004,-1.5769,0.0204,0.0354,0.0894,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9642,0.1857,2.4585,-0.0266,-0.0646,0.0017,0.0699,0.0017,0.0293,1.9748,0.9983,-0.0002,-0.0408,-0.0133,-0.0323,0.0009,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0136,-0.0731,0.0009,0.0255
1779479630.662889,0.2030,circle,0.0358,0.1734,1.4586,-0.0145,-0.0196,-0.0003,-1.5754,0.0417,0.0362,0.0654,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9642,0.1825,2.4586,-0.0265,-0.0679,0.0018,0.0729,0.0018,0.0308,1.9749,0.9982,-0.0004,-0.0833,-0.0133,-0.0339,0.0009,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0137,-0.1173,0.0009,0.0289
1779479630.714469,0.2500,circle,0.0360,0.1731,1.4586,-0.0136,-0.0225,-0.0002,-1.5728,0.0696,0.0377,0.0294,-1.9376,0.2504,2.4568,-0.0162,-0.0207,0.0001,-1.6062,-0.0003,-1.9640,0.1771,2.4586,-0.0263,-0.0733,0.0018,0.0778,0.0018,0.0334,1.9752,0.9982,-0.0003,-0.1392,-0.0132,-0.0366,0.0009,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0135,-0.1758,0.0009,0.0337
1779479630.767969,0.2970,circle,0.0369,0.1728,1.4588,-0.0117,-0.0295,-0.0001,-1.5667,0.1165,0.0389,0.0054,-1.9376,0.2499,2.4564,-0.0190,-0.0294,0.0001,-1.6044,0.0179,-1.9631,0.1646,2.4588,-0.0255,-0.0853,0.0024,0.0890,0.0024,0.0377,1.9760,0.9976,0.0010,-0.2329,-0.0127,-0.0427,0.0012,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0118,-0.2756,0.0012,0.0400
1779479630.821808,0.3590,circle,0.0376,0.1717,1.4590,-0.0100,-0.0401,-0.0001,-1.5577,0.1644,0.0420,-0.0425,-1.9376,0.2499,2.4564,-0.0190,-0.0294,0.0001,-1.6044,0.0179,-1.9622,0.1455,2.4590,-0.0246,-0.1044,0.0026,0.1073,0.0026,0.0467,1.9767,0.9974,0.0043,-0.3287,-0.0123,-0.0522,0.0013,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0080,-0.3809,0.0013,0.0520
1779479630.863749,0.3910,circle,0.0379,0.1704,1.4591,-0.0090,-0.0493,-0.0001,-1.5502,0.1940,0.0429,-0.0544,-1.9376,0.2499,2.4564,-0.0190,-0.0294,0.0001,-1.6044,0.0179,-1.9617,0.1291,2.4591,-0.0241,-0.1208,0.0027,0.1232,0.0027,0.0543,1.9771,0.9973,0.0080,-0.3880,-0.0121,-0.0604,0.0013,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0040,-0.4484,0.0013,0.0610
1779479630.923569,0.4530,circle,0.0388,0.1680,1.4592,-0.0073,-0.0654,-0.0001,-1.5369,0.2325,0.0459,-0.0903,-1.9376,0.2499,2.4564,-0.0190,-0.0294,0.0001,-1.6044,0.0179,-1.9601,0.1002,2.4592,-0.0225,-0.1497,0.0029,0.1514,0.0029,0.0676,1.9781,0.9971,0.0158,-0.4648,-0.0112,-0.0748,0.0014,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0045,-0.5396,0.0014,0.0755
