t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.021989,0.122781,3.000847,0.000000,0.000000
0.02000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.021189,0.042787,3.000847,0.000800,-0.079995
0.04000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.018789,-0.037176,3.000847,0.003200,-0.159957
0.06000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.014791,-0.117075,3.000847,0.007198,-0.239856
0.08000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.009196,-0.196878,3.000847,0.012793,-0.319659
0.10000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-4.002006,-0.276552,3.000847,0.019983,-0.399334
0.12000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-3.993223,-0.356068,3.000847,0.028765,-0.478849
0.14000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-3.982853,-0.435391,3.000847,0.039136,-0.558172
0.16000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-3.970898,-0.514492,3.000847,0.051091,-0.637273
0.18000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.118206,0.000060,-3.957364,-0.593337,3.000847,0.064625,-0.716118
0.20000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.130637,0.205970,-3.942255,-0.671896,3.000847,0.079734,-0.794677
0.22000,-4.021989,0.122781,3.000847,0.025549,-0.016549,-0.001340,3.130637,0.205970,-3.925579,-0.750137,3.000847,0.096410,-0.872918
0.24000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.907341,-0.828029,3.000847,0.114714,-0.949879
0.26000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.887549,-0.905541,3.000847,0.134506,-1.027390
0.28000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.866211,-0.982641,3.000847,0.155844,-1.104491
0.30000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.843335,-1.059300,3.000847,0.178720,-1.181149
0.32000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.818931,-1.135485,3.000847,0.203124,-1.257334
0.34000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.793008,-1.211167,3.000847,0.229047,-1.333016
0.36000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.765576,-1.286316,3.000847,0.256479,-1.408165
0.38000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.736647,-1.360901,3.000847,0.285407,-1.482750
0.40000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.706233,-1.434892,3.000847,0.315822,-1.556741
0.42000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.674345,-1.508261,3.000847,0.347710,-1.630110
0.44000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,3.130637,0.205970,-3.640996,-1.580977,3.000847,0.381059,-1.702826
0.46000,-4.022055,0.121849,3.001014,0.022445,-0.043905,-0.000369,-2.967537,1.170343,-3.606199,-1.653011,3.000847,0.415856,-1.774860
