t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,-1.967064,-0.221071,4.958080,-0.014823,-0.017150,-0.000544,-1.581865,-0.000694,-1.967354,-0.221199,4.958083,-0.000290,-0.000128
0.02000,-1.966832,-0.220931,4.958082,-0.014679,-0.017076,-0.000599,-1.581869,-0.000783,-1.967226,-0.253199,4.958083,-0.000522,-0.032268
0.04000,-1.966832,-0.220931,4.958082,-0.014679,-0.017076,-0.000599,-1.581868,-0.000564,-1.966842,-0.285196,4.958083,-0.000522,-0.064268
0.06000,-1.966880,-0.221048,4.958074,-0.014729,-0.017170,-0.000755,-1.581828,0.001290,-1.966202,-0.317190,4.958083,-0.000474,-0.096151
0.08000,-1.966788,-0.221126,4.958060,-0.014539,-0.017600,-0.000742,-1.581681,0.006369,-1.965306,-0.349177,4.958083,-0.000566,-0.128074
0.10000,-1.966674,-0.221122,4.958057,-0.014282,-0.018124,-0.000713,-1.580806,0.026643,-1.964155,-0.381156,4.958083,-0.000681,-0.160077
0.12000,-1.966592,-0.221169,4.958053,-0.013993,-0.019194,-0.000712,-1.580806,0.026643,-1.962747,-0.413125,4.958083,-0.000762,-0.192030
0.14000,-1.966700,-0.221420,4.958045,-0.013788,-0.020952,-0.000630,-1.579937,0.042260,-1.961084,-0.445082,4.958083,-0.000654,-0.223780
0.16000,-1.966408,-0.221427,4.958045,-0.013287,-0.023152,-0.000544,-1.578694,0.060959,-1.959165,-0.477024,4.958083,-0.000946,-0.255772
0.18000,-1.966282,-0.221643,4.958043,-0.012817,-0.026303,-0.000472,-1.577013,0.082752,-1.956991,-0.508950,4.958083,-0.001072,-0.287556
0.20000,-1.966282,-0.221643,4.958043,-0.012817,-0.026303,-0.000472,-1.577013,0.082752,-1.954561,-0.540858,4.958083,-0.001072,-0.319556
0.22000,-1.965379,-0.221872,4.958054,-0.011336,-0.035004,-0.000500,-1.572137,0.133762,-1.951876,-0.572745,4.958083,-0.001976,-0.351327
0.24000,-1.965317,-0.222516,4.958050,-0.010731,-0.041879,-0.000489,-1.568420,0.165061,-1.948936,-0.604610,4.958083,-0.002037,-0.382683
0.26000,-1.965317,-0.222516,4.958050,-0.010731,-0.041879,-0.000489,-1.568420,0.165061,-1.945742,-0.636450,4.958083,-0.002037,-0.414683
0.28000,-1.964603,-0.223713,4.958059,-0.009133,-0.057314,-0.000379,-1.559873,0.227385,-1.942293,-0.668263,4.958083,-0.002750,-0.445484
0.30000,-1.964531,-0.224783,4.958058,-0.008431,-0.066791,-0.000401,-1.554638,0.259395,-1.938589,-0.700048,4.958083,-0.002822,-0.476413
0.32000,-1.964531,-0.224783,4.958058,-0.008431,-0.066791,-0.000401,-1.554638,0.259395,-1.934631,-0.731802,4.958083,-0.002822,-0.508413
0.34000,-1.964157,-0.227424,4.958055,-0.006745,-0.088796,-0.000639,-1.542248,0.323254,-1.930419,-0.763524,4.958083,-0.003193,-0.537770
0.36000,-1.963649,-0.228905,4.958055,-0.005608,-0.101152,-0.000635,-1.535133,0.353443,-1.925954,-0.795211,4.958083,-0.003698,-0.568287
