timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779479007.569577,0.0000,circle,0.0550,0.0834,1.4574,-0.0168,-0.0146,0.0007,-1.5777,-0.0010,0.0550,0.0834,-1.9481,0.1299,2.4569,-0.0162,-0.0184,0.0011,-1.5973,-0.0009,-1.9450,0.0972,2.4574,0.0031,-0.0326,0.0005,0.0328,0.0005,0.0196,2.0036,0.9995,0.0000,0.0020,0.0015,-0.0163,0.0002,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0016,-0.0144,0.0002,0.0157
1779479007.620806,0.0630,circle,0.0550,0.0834,1.4574,-0.0168,-0.0146,0.0007,-1.5777,-0.0010,0.0551,0.0594,-1.9480,0.1299,2.4570,-0.0161,-0.0184,0.0010,-1.5973,-0.0011,-1.9450,0.0972,2.4574,0.0030,-0.0327,0.0004,0.0328,0.0004,0.0196,2.0035,0.9996,0.0000,0.0020,0.0015,-0.0163,0.0002,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0015,-0.0144,0.0002,0.0157
1779479007.658047,0.0940,circle,0.0550,0.0834,1.4574,-0.0168,-0.0146,0.0007,-1.5777,0.0034,0.0554,0.0354,-1.9480,0.1299,2.4570,-0.0161,-0.0184,0.0008,-1.5973,-0.0006,-1.9450,0.0973,2.4574,0.0030,-0.0326,0.0003,0.0328,0.0003,0.0196,2.0035,0.9997,-0.0000,-0.0067,0.0015,-0.0163,0.0002,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0014,-0.0230,0.0002,0.0161
1779479007.714887,0.1570,circle,0.0549,0.0835,1.4577,-0.0166,-0.0148,0.0002,-1.5777,0.0034,0.0562,-0.0006,-1.9481,0.1297,2.4572,-0.0162,-0.0194,0.0007,-1.5972,0.0028,-1.9450,0.0974,2.4577,0.0031,-0.0323,0.0005,0.0324,0.0005,0.0195,2.0036,0.9995,-0.0000,-0.0067,0.0015,-0.0161,0.0003,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0015,-0.0229,0.0003,0.0156
1779479007.758153,0.1880,circle,0.0549,0.0835,1.4577,-0.0166,-0.0148,0.0002,-1.5777,0.0034,0.0569,-0.0246,-1.9480,0.1297,2.4573,-0.0161,-0.0202,0.0007,-1.5968,0.0074,-1.9450,0.0974,2.4577,0.0030,-0.0323,0.0004,0.0325,0.0004,0.0191,2.0035,0.9996,-0.0000,-0.0067,0.0015,-0.0162,0.0002,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0014,-0.0229,0.0002,0.0148
1779479007.820568,0.2500,circle,0.0549,0.0835,1.4577,-0.0166,-0.0148,0.0002,-1.5777,0.0034,0.0584,-0.0606,-1.9478,0.1298,2.4574,-0.0159,-0.0212,0.0005,-1.5966,0.0091,-1.9450,0.0974,2.4577,0.0028,-0.0324,0.0003,0.0325,0.0003,0.0189,2.0033,0.9997,-0.0000,-0.0067,0.0014,-0.0162,0.0001,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0013,-0.0229,0.0001,0.0145
1779479007.871020,0.3130,circle,0.0549,0.0835,1.4577,-0.0166,-0.0148,0.0002,-1.5777,0.0034,0.0604,-0.0965,-1.9481,0.1291,2.4577,-0.0159,-0.0244,0.0005,-1.5955,0.0153,-1.9450,0.0974,2.4577,0.0030,-0.0317,0.0000,0.0318,0.0000,0.0178,2.0035,1.0000,-0.0000,-0.0067,0.0015,-0.0158,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0015,-0.0226,0.0000,0.0130
1779479007.908450,0.3440,circle,0.0560,0.0823,1.4578,-0.0101,-0.0353,-0.0008,-1.5596,0.1535,0.0611,-0.1085,-1.9480,0.1290,2.4578,-0.0158,-0.0251,0.0005,-1.5952,0.0168,-1.9439,0.0599,2.4578,0.0041,-0.0691,0.0001,0.0692,0.0001,0.0356,2.0045,0.9999,0.0034,-0.3069,0.0020,-0.0346,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0055,-0.3414,0.0000,0.0421
1779479007.965961,0.4070,circle,0.0560,0.0823,1.4578,-0.0101,-0.0353,-0.0008,-1.5596,0.1535,0.0636,-0.1444,-1.9478,0.1288,2.4579,-0.0156,-0.0265,0.0004,-1.5944,0.0190,-1.9439,0.0599,2.4578,0.0039,-0.0689,-0.0001,0.0690,0.0001,0.0348,2.0043,1.0001,0.0034,-0.3069,0.0020,-0.0345,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0054,-0.3414,-0.0000,0.0413
1779479008.009665,0.4380,circle,0.0560,0.0823,1.4578,-0.0101,-0.0353,-0.0008,-1.5596,0.1535,0.0666,-0.1803,-1.9477,0.1283,2.4581,-0.0154,-0.0304,0.0003,-1.5925,0.0263,-1.9439,0.0599,2.4578,0.0038,-0.0684,-0.0003,0.0685,0.0003,0.0329,2.0042,1.0003,0.0034,-0.3069,0.0019,-0.0342,-0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0053,-0.3411,-0.0001,0.0390
1779479008.072650,0.5160,circle,0.0560,0.0823,1.4578,-0.0101,-0.0353,-0.0008,-1.5596,0.1535,0.0700,-0.2161,-1.9479,0.1270,2.4583,-0.0154,-0.0419,-0.0000,-1.5913,0.0319,-1.9439,0.0599,2.4578,0.0040,-0.0671,-0.0005,0.0672,0.0005,0.0317,2.0044,1.0005,0.0034,-0.3069,0.0020,-0.0335,-0.0002,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0054,-0.3404,-0.0002,0.0375
1779479008.107024,0.5470,circle,0.0560,0.0823,1.4578,-0.0101,-0.0353,-0.0008,-1.5596,0.1535,0.0725,-0.2400,-1.9478,0.1258,2.4584,-0.0152,-0.0553,-0.0002,-1.5890,0.0399,-1.9439,0.0599,2.4578,0.0039,-0.0659,-0.0006,0.0660,0.0006,0.0294,2.0043,1.0006,0.0034,-0.3069,0.0020,-0.0330,-0.0003,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0054,-0.3398,-0.0003,0.0349
1779479008.160380,0.5940,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.5003,0.2796,0.0751,-0.2638,-1.9477,0.1227,2.4586,-0.0148,-0.0825,-0.0006,-1.5872,0.0443,-1.9364,-0.0717,2.4578,0.0113,-0.1944,-0.0008,0.1947,0.0008,0.0869,2.0070,1.0008,0.0394,-0.5579,0.0056,-0.0972,-0.0004,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0450,-0.6551,-0.0004,0.0930
1779479008.216997,0.6570,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.5003,0.2796,0.0795,-0.2996,-1.9475,0.1179,2.4587,-0.0143,-0.1146,-0.0009,-1.5843,0.0502,-1.9364,-0.0717,2.4578,0.0111,-0.1895,-0.0009,0.1898,0.0009,0.0840,2.0067,1.0009,0.0394,-0.5579,0.0055,-0.0948,-0.0005,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0449,-0.6526,-0.0005,0.0901
1779479008.260719,0.7040,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.5003,0.2796,0.0827,-0.3234,-1.9476,0.1133,2.4588,-0.0139,-0.1391,-0.0011,-1.5821,0.0577,-1.9364,-0.0717,2.4578,0.0111,-0.1849,-0.0010,0.1853,0.0010,0.0817,2.0067,1.0010,0.0394,-0.5579,0.0056,-0.0925,-0.0005,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0449,-0.6503,-0.0005,0.0876
1779479008.307403,0.7500,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.5003,0.2796,0.0878,-0.3590,-1.9473,0.1047,2.4588,-0.0120,-0.1824,-0.0015,-1.5780,0.0730,-1.9364,-0.0717,2.4578,0.0109,-0.1763,-0.0011,0.1767,0.0011,0.0776,2.0063,1.0011,0.0394,-0.5579,0.0055,-0.0882,-0.0005,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0448,-0.6460,-0.0005,0.0828
1779479008.357911,0.7970,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.5003,0.2796,0.0914,-0.3827,-1.9470,0.0975,2.4589,-0.0099,-0.2153,-0.0017,-1.5747,0.0835,-1.9364,-0.0717,2.4578,0.0106,-0.1691,-0.0011,0.1695,0.0011,0.0744,2.0058,1.0011,0.0394,-0.5579,0.0053,-0.0846,-0.0005,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0447,-0.6424,-0.0005,0.0791
1779479008.411357,0.8440,circle,0.0586,0.0691,1.4578,-0.0025,-0.1100,-0.0011,-1.4329,0.2424,0.0972,-0.4183,-1.9468,0.0934,2.4589,-0.0087,-0.2325,-0.0019,-1.5711,0.0927,-1.9224,-0.2059,2.4578,0.0244,-0.2993,-0.0011,0.3003,0.0011,0.1382,2.0055,1.0011,0.0667,-0.4802,0.0122,-0.1496,-0.0006,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0788,-0.6299,-0.0006,0.1255
1779479008.467718,0.9070,circle,0.0630,0.0341,1.4577,0.0062,-0.2103,-0.0008,-1.4329,0.2424,0.1034,-0.4537,-1.9459,0.0672,2.4589,-0.0018,-0.3193,-0.0017,-1.5628,0.1069,-1.9180,-0.2409,2.4577,0.0278,-0.3081,-0.0011,0.3094,0.0011,0.1300,2.0091,1.0011,0.0667,-0.4802,0.0139,-0.1541,-0.0006,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0806,-0.6343,-0.0006,0.1175
1779479008.511095,0.9540,circle,0.0630,0.0341,1.4577,0.0062,-0.2103,-0.0008,-1.4329,0.2424,0.1078,-0.4773,-1.9455,0.0611,2.4589,0.0000,-0.3356,-0.0016,-1.5606,0.1111,-1.9180,-0.2409,2.4577,0.0274,-0.3020,-0.0012,0.3033,0.0012,0.1277,2.0086,1.0012,0.0667,-0.4802,0.0137,-0.1510,-0.0006,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0804,-0.6312,-0.0006,0.1153
1779479008.557958,1.0000,circle,0.0630,0.0341,1.4577,0.0062,-0.2103,-0.0008,-1.4329,0.2424,0.1148,-0.5126,-1.9442,0.0408,2.4589,0.0062,-0.3808,-0.0015,-1.5506,0.1283,-1.9180,-0.2409,2.4577,0.0262,-0.2817,-0.0012,0.2829,0.0012,0.1177,2.0072,1.0012,0.0667,-0.4802,0.0131,-0.1409,-0.0006,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0798,-0.6211,-0.0006,0.1056
1779479008.608423,1.0470,circle,0.0630,0.0341,1.4577,0.0062,-0.2103,-0.0008,-1.4329,0.2424,0.1196,-0.5361,-1.9436,0.0336,2.4589,0.0085,-0.3945,-0.0015,-1.5506,0.1283,-1.9180,-0.2409,2.4577,0.0256,-0.2745,-0.0012,0.2757,0.0012,0.1177,2.0066,1.0012,0.0667,-0.4802,0.0128,-0.1372,-0.0006,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0795,-0.6175,-0.0006,0.1056
1779479008.662029,1.0940,circle,0.0697,-0.0254,1.4577,0.0181,-0.3125,-0.0006,-1.3811,0.1815,0.1273,-0.5713,-1.9408,-0.0073,2.4589,0.0195,-0.4530,-0.0011,-1.5367,0.1406,-1.8944,-0.4025,2.4577,0.0463,-0.3952,-0.0012,0.3979,0.0012,0.1555,2.0106,1.0012,0.0685,-0.3566,0.0232,-0.1976,-0.0006,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0916,-0.5542,-0.0006,0.1285
1779479008.718692,1.1570,circle,0.0697,-0.0254,1.4577,0.0181,-0.3125,-0.0006,-1.3811,0.1815,0.1326,-0.5947,-1.9391,-0.0248,2.4590,0.0237,-0.4715,-0.0010,-1.5309,0.1416,-1.8944,-0.4025,2.4577,0.0447,-0.3777,-0.0013,0.3803,0.0013,0.1498,2.0088,1.0013,0.0685,-0.3566,0.0223,-0.1888,-0.0006,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0908,-0.5454,-0.0006,0.1238
1779479008.762322,1.2040,circle,0.0697,-0.0254,1.4577,0.0181,-0.3125,-0.0006,-1.3811,0.1815,0.1381,-0.6181,-1.9361,-0.0521,2.4590,0.0299,-0.4932,-0.0010,-1.5222,0.1424,-1.8944,-0.4025,2.4577,0.0417,-0.3504,-0.0013,0.3529,0.0013,0.1411,2.0060,1.0013,0.0685,-0.3566,0.0208,-0.1752,-0.0007,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0893,-0.5317,-0.0007,0.1168
1779479008.808880,1.2500,circle,0.0697,-0.0254,1.4577,0.0181,-0.3125,-0.0006,-1.3811,0.1815,0.1438,-0.6414,-1.9342,-0.0712,2.4590,0.0336,-0.5040,-0.0011,-1.5164,0.1424,-1.8944,-0.4025,2.4577,0.0397,-0.3313,-0.0013,0.3337,0.0013,0.1353,2.0044,1.0013,0.0685,-0.3566,0.0199,-0.1656,-0.0007,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0883,-0.5222,-0.0007,0.1122
1779479008.859473,1.2970,circle,0.0697,-0.0254,1.4577,0.0181,-0.3125,-0.0006,-1.3811,0.1815,0.1527,-0.6763,-1.9321,-0.0908,2.4590,0.0371,-0.5122,-0.0011,-1.5107,0.1412,-1.8944,-0.4025,2.4577,0.0377,-0.3117,-0.0013,0.3140,0.0013,0.1296,2.0029,1.0013,0.0685,-0.3566,0.0189,-0.1558,-0.0007,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0873,-0.5124,-0.0007,0.1077
1779479008.912724,1.3440,circle,0.0810,-0.1084,1.4577,0.0341,-0.4035,-0.0003,-1.3376,0.1742,0.1621,-0.7110,-1.9287,-0.1203,2.4590,0.0418,-0.5199,-0.0013,-1.5023,0.1367,-1.8649,-0.5705,2.4577,0.0638,-0.4502,-0.0014,0.4547,0.0014,0.1647,2.0097,1.0014,0.0805,-0.3390,0.0319,-0.2251,-0.0007,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.1124,-0.5641,-0.0007,0.1355
