timestamp_unix,t,phase,event,lx,ly,lz,l_yaw,sx,sy,sz,s_yaw
1780340356.565466,0.0000,init,,0.0000,0.0000,0.0000,-0.0142,0.0000,0.0000,0.0000,0.0000
1780340356.682684,0.1250,init,,0.0000,0.0000,0.8380,-0.0142,0.0000,0.0000,0.0000,0.0000
1780340356.791883,0.2350,init,,-3.9474,-0.0524,0.8380,-0.0143,-4.9593,-0.0419,0.8566,-0.0085
1780340356.901916,0.3440,init,,-3.9474,-0.0524,0.8380,-0.0143,-4.9593,-0.0419,0.8566,-0.0085
1780340357.017826,0.4530,init,,-3.9474,-0.0524,0.8379,-0.0145,-4.9593,-0.0419,0.8566,-0.0087
1780340357.123932,0.5630,init,,-3.9474,-0.0524,0.8379,-0.0145,-4.9593,-0.0419,0.8566,-0.0087
1780340357.238172,0.6720,init,,-3.9474,-0.0524,0.8379,-0.0145,-4.9593,-0.0419,0.8566,-0.0088
1780340357.350060,0.7820,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0145,-4.9593,-0.0419,0.8566,-0.0088
1780340357.453559,0.8910,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0145,-4.9593,-0.0419,0.8566,-0.0088
1780340357.563896,1.0000,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0147,-4.9593,-0.0419,0.8566,-0.0089
1780340357.679832,1.1100,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0147,-4.9593,-0.0419,0.8566,-0.0089
1780340357.783628,1.2190,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0148,-4.9593,-0.0419,0.8566,-0.0090
1780340357.894058,1.3280,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0148,-4.9593,-0.0419,0.8566,-0.0090
1780340358.006274,1.4380,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0148,-4.9593,-0.0419,0.8566,-0.0092
1780340358.122345,1.5630,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0149,-4.9593,-0.0419,0.8566,-0.0092
1780340358.227035,1.6720,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0149,-4.9593,-0.0419,0.8566,-0.0093
1780340358.335288,1.7660,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0150,-4.9593,-0.0419,0.8566,-0.0093
1780340358.539376,1.9850,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0151,-4.9593,-0.0419,0.8566,-0.0094
1780340358.651532,2.0940,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0151,-4.9593,-0.0419,0.8566,-0.0094
1780340358.757569,2.1880,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0151,-4.9593,-0.0419,0.8566,-0.0095
1780340358.865538,2.2970,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0152,-4.9593,-0.0419,0.8566,-0.0095
1780340358.971600,2.4070,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0152,-4.9593,-0.0419,0.8566,-0.0097
1780340359.086607,2.5320,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0153,-4.9593,-0.0419,0.8566,-0.0097
1780340359.186864,2.6250,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0153,-4.9593,-0.0419,0.8566,-0.0097
1780340359.298951,2.7350,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0154,-4.9593,-0.0419,0.8566,-0.0098
1780340359.400243,2.8440,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0154,-4.9593,-0.0419,0.8566,-0.0098
1780340359.510310,2.9530,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0154,-4.9593,-0.0419,0.8566,-0.0099
1780340359.624154,3.0630,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0155,-4.9593,-0.0419,0.8566,-0.0099
1780340359.737720,3.1720,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0155,-4.9593,-0.0419,0.8566,-0.0101
1780340359.848055,3.2820,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0156,-4.9593,-0.0419,0.8566,-0.0101
1780340359.948278,3.3910,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0156,-4.9593,-0.0419,0.8566,-0.0101
1780340360.058226,3.5000,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0157,-4.9593,-0.0419,0.8566,-0.0102
1780340360.172562,3.6100,takeoff_L,,-3.9474,-0.0524,0.8379,-0.0157,-4.9593,-0.0419,0.8566,-0.0102
1780340360.290001,3.7350,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0158,-4.9593,-0.0419,0.8567,-0.0103
1780340360.399917,3.8440,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0158,-4.9593,-0.0419,0.8567,-0.0103
1780340360.508430,3.9530,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0158,-4.9593,-0.0419,0.8567,-0.0104
1780340360.618586,4.0630,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0159,-4.9593,-0.0419,0.8567,-0.0104
1780340360.720353,4.1570,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0159,-4.9593,-0.0419,0.8567,-0.0104
1780340360.834014,4.2660,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0160,-4.9593,-0.0419,0.8567,-0.0105
1780340360.951720,4.3910,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0160,-4.9593,-0.0419,0.8567,-0.0105
1780340361.060908,4.5000,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0161,-4.9593,-0.0419,0.8567,-0.0107
1780340361.171117,4.6100,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0161,-4.9593,-0.0419,0.8567,-0.0107
1780340361.273931,4.7190,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0162,-4.9593,-0.0419,0.8567,-0.0108
1780340361.382521,4.8130,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0162,-4.9593,-0.0419,0.8567,-0.0108
1780340361.492181,4.9220,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0162,-4.9593,-0.0419,0.8566,-0.0109
1780340361.601059,5.0320,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0164,-4.9593,-0.0419,0.8566,-0.0109
1780340361.716680,5.1570,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0164,-4.9593,-0.0419,0.8566,-0.0109
1780340361.824792,5.2660,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0165,-4.9593,-0.0419,0.8566,-0.0110
1780340361.939768,5.3750,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0165,-4.9593,-0.0419,0.8566,-0.0110
1780340362.063399,5.5000,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0166,-4.9593,-0.0419,0.8566,-0.0112
1780340362.178418,5.6100,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0166,-4.9593,-0.0419,0.8566,-0.0112
1780340362.295962,5.7350,takeoff_L,,-3.9474,-0.0524,0.8380,-0.0167,-4.9593,-0.0419,0.8567,-0.0113
1780340362.405874,5.8440,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0167,-4.9593,-0.0419,0.8567,-0.0113
1780340362.513960,5.9530,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0167,-4.9593,-0.0419,0.8567,-0.0114
1780340362.625459,6.0630,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0168,-4.9593,-0.0419,0.8567,-0.0114
1780340362.732422,6.1720,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0168,-4.9593,-0.0419,0.8567,-0.0114
1780340362.840696,6.2820,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0169,-4.9593,-0.0419,0.8567,-0.0115
1780340362.956837,6.3910,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0169,-4.9593,-0.0419,0.8567,-0.0115
1780340363.066537,6.5000,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0170,-4.9593,-0.0419,0.8567,-0.0116
1780340363.169743,6.6100,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0170,-4.9593,-0.0419,0.8567,-0.0116
1780340363.272876,6.7030,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0171,-4.9593,-0.0419,0.8567,-0.0117
1780340363.381405,6.8130,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0171,-4.9593,-0.0419,0.8567,-0.0117
1780340363.487875,6.9220,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0171,-4.9593,-0.0419,0.8567,-0.0117
1780340363.588077,7.0320,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0172,-4.9593,-0.0419,0.8567,-0.0119
1780340363.701372,7.1410,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0172,-4.9593,-0.0419,0.8567,-0.0119
1780340363.816339,7.2500,takeoff_L,takeoff_líder_arm,-3.9474,-0.0524,0.8381,-0.0172,-4.9593,-0.0419,0.8567,-0.0120
1780340363.926406,7.3600,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0172,-4.9593,-0.0419,0.8567,-0.0120
1780340364.036368,7.4690,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0173,-4.9593,-0.0419,0.8567,-0.0121
1780340364.138095,7.5780,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0173,-4.9593,-0.0419,0.8567,-0.0121
1780340364.246451,7.6880,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0173,-4.9593,-0.0419,0.8567,-0.0121
1780340364.356119,7.7970,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0174,-4.9593,-0.0419,0.8568,-0.0122
1780340364.467571,7.9070,takeoff_L,,-3.9474,-0.0524,0.8381,-0.0174,-4.9593,-0.0419,0.8568,-0.0122
1780340364.567683,8.0000,takeoff_L,,-3.9474,-0.0524,0.8382,-0.0174,-4.9593,-0.0419,0.8568,-0.0123
1780340364.669576,8.1100,takeoff_L,,-3.9474,-0.0524,0.8382,-0.0174,-4.9593,-0.0419,0.8568,-0.0123
1780340364.779505,8.2190,takeoff_L,,-3.9474,-0.0524,0.8382,-0.0174,-4.9593,-0.0419,0.8568,-0.0125
1780340364.891268,8.3280,takeoff_L,,-3.9474,-0.0524,0.8382,-0.0176,-4.9593,-0.0419,0.8568,-0.0125
1780340365.005129,8.4380,takeoff_L,,-3.9474,-0.0524,0.8382,-0.0176,-4.9593,-0.0419,0.8568,-0.0126
