t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320285,-1.621092,2.348875,0.000000,0.000000
0.02000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320301,-1.629092,2.348875,0.000016,-0.008000
0.04000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320349,-1.637091,2.348875,0.000064,-0.016000
0.06000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320429,-1.645091,2.348875,0.000144,-0.023999
0.08000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320541,-1.653090,2.348875,0.000256,-0.031999
0.10000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320685,-1.661089,2.348875,0.000400,-0.039997
0.12000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.320861,-1.669087,2.348875,0.000576,-0.047995
0.14000,2.320285,-1.621092,2.348875,0.034025,-0.050751,-0.023624,-3.093739,-0.032333,2.321069,-1.677084,2.348875,0.000784,-0.055993
0.16000,2.324740,-1.623898,2.349075,-0.021747,-0.038851,-0.095838,-3.083017,0.079828,2.321309,-1.685081,2.348875,-0.003431,-0.061183
0.18000,2.324740,-1.623898,2.349075,-0.021747,-0.038851,-0.095838,-3.083017,0.079828,2.321580,-1.693076,2.348875,-0.003159,-0.069178
0.20000,2.324740,-1.623898,2.349075,-0.021747,-0.038851,-0.095838,-3.083017,0.079828,2.321884,-1.701070,2.348875,-0.002855,-0.077172
0.22000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.322220,-1.709063,2.348875,-0.002997,-0.084672
0.24000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.322588,-1.717055,2.348875,-0.002630,-0.092663
0.26000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.322988,-1.725045,2.348875,-0.002230,-0.100653
0.28000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.323420,-1.733033,2.348875,-0.001798,-0.108641
0.30000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.323884,-1.741020,2.348875,-0.001334,-0.116628
0.32000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.324379,-1.749004,2.348875,-0.000839,-0.124613
0.34000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.324907,-1.756987,2.348875,-0.000311,-0.132595
0.36000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.325466,-1.764967,2.348875,0.000249,-0.140576
0.38000,2.325218,-1.624392,2.347729,-0.029057,-0.045675,-0.069224,-3.082050,0.018701,2.326058,-1.772945,2.348875,0.000840,-0.148554
0.40000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.326681,-1.780921,2.348875,0.001004,-0.157384
0.42000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.327336,-1.788894,2.348875,0.001659,-0.165357
0.44000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.328024,-1.796865,2.348875,0.002346,-0.173327
0.46000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.328743,-1.804832,2.348875,0.003065,-0.181295
0.48000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.329494,-1.812797,2.348875,0.003816,-0.189260
0.50000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.330276,-1.820758,2.348875,0.004599,-0.197221
0.52000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.331091,-1.828717,2.348875,0.005413,-0.205180
0.54000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.331937,-1.836672,2.348875,0.006260,-0.213135
0.56000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.332815,-1.844624,2.348875,0.007138,-0.221086
0.58000,2.325678,-1.623537,2.345915,0.062944,-0.035689,-0.012585,-3.076704,-0.144458,2.333726,-1.852572,2.348875,0.008048,-0.229034
0.60000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.334667,-1.860516,2.348875,0.010002,-0.240881
0.62000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.335641,-1.868457,2.348875,0.010975,-0.248821
0.64000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.336646,-1.876393,2.348875,0.011981,-0.256758
0.66000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.337683,-1.884326,2.348875,0.013018,-0.264690
0.68000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.338752,-1.892254,2.348875,0.014087,-0.272618
0.70000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.339853,-1.900178,2.348875,0.015187,-0.280542
0.72000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.340985,-1.908097,2.348875,0.016319,-0.288462
0.74000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.342149,-1.916012,2.348875,0.017483,-0.296377
0.76000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.343344,-1.923922,2.348875,0.018679,-0.304287
0.78000,2.324666,-1.619635,2.344147,0.010938,-0.025874,-0.047766,-3.082079,-0.061670,2.344571,-1.931828,2.348875,0.019906,-0.312192
