time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.9313073754310608,1.8038334846496582,3.9657299518585205,-0.015697842463850975,-0.021099558100104332,-0.0006407740875147283,-1.598511815071106,-0.0005452273180708289,-0.9472679197341817,1.780078723983003,3.965064,-0.015960544303120883,-0.023754760666655272,-0.0006659518585205859,-0.00011618492889398091,0.00018692757938482154,-5.2038510097080136e-06,0.0,-0.015960544303120883,-0.023754760666655272,-0.0006659518585205859,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01577361672373606,-0.023759964517664982,-0.0006659518585205859,-2.3236985778796183e-05
0.1000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.9313073754310608,1.8038334846496582,3.9657299518585205,-0.015697842463850975,-0.021099558100104332,-0.0006407740875147283,-1.598511815071106,-0.0005452273180708289,-0.9472679197341817,1.780078723983003,3.965064,-0.015960544303120883,-0.023754760666655272,-0.0006659518585205859,-0.00011618492889398091,0.00018692757938482154,-5.2038510097080136e-06,0.0,-0.015960544303120883,-0.023754760666655272,-0.0006659518585205859,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01577361672373606,-0.023759964517664982,-0.0006659518585205859,-2.3236985778796183e-05
0.1500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.5985767841339111,-0.0008316505700349808,-0.9472679197341817,1.780078723983003,3.965064,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-5.121586608880513e-05,0.00018692757938482154,-5.2038510097080136e-06,0.0,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01718493550272776,-0.023696187547755314,-0.0006721507415772265,-1.0243173217761027e-05
0.2000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.5985767841339111,-0.0008316505700349808,-0.9472679197341817,1.780078723983003,3.965064,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-5.121586608880513e-05,0.00018692757938482154,-5.2038510097080136e-06,0.0,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01718493550272776,-0.023696187547755314,-0.0006721507415772265,-1.0243173217761027e-05
0.2500,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.0002,-1.598628,-0.000187,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.5985767841339111,-0.0008316505700349808,-0.9472679197341817,1.780078723983003,3.965064,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-5.121586608880513e-05,0.00018692757938482154,-5.2038510097080136e-06,0.0,-0.017371863082112582,-0.023690983696745604,-0.0006721507415772265,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01718493550272776,-0.023696187547755314,-0.0006721507415772265,-1.0243173217761027e-05
0.3000,-0.9750265,0.780189,2.965093,-0.016257,-0.025270499999999998,-2.650000000000002e-05,-1.580506,0.243214,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.5985767841339111,-0.0008316505700349808,-0.9653169793618739,1.7801418614934694,3.965093,-0.03542092270980479,-0.02362784618627911,-0.0006431507415771698,0.018070784133911166,-0.24320253525527272,0.0023614913524811977,0.0,-0.03542092270980479,-0.02362784618627911,-0.0006431507415771698,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.2786234579650775,-0.021266354833797914,-0.0006431507415771698,0.0036141568267822333
0.3500,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.5985767841339111,-0.0008316505700349808,-0.9652474793618738,1.7798648614934696,3.965122,-0.035351422709804736,-0.023904846186278972,-0.000614150741577113,0.018070784133911166,-0.24320253525527272,0.0023614913524811977,0.0,-0.035351422709804736,-0.023904846186278972,-0.000614150741577113,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.2785539579650774,-0.021543354833797775,-0.000614150741577113,0.0036141568267822333
0.4000,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9298960566520691,1.8037697076797485,3.965736150741577,-0.01571907103061676,-0.021577388048171997,-0.0007623449200764298,-1.598620057106018,-0.0006279541412368417,-0.9652474793618738,1.7798648614934696,3.965122,-0.035351422709804736,-0.023904846186278972,-0.000614150741577113,0.0181140571060181,-0.24320253525527272,0.0023614913524811977,0.0,-0.035351422709804736,-0.023904846186278972,-0.000614150741577113,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.2785539579650774,-0.021543354833797775,-0.000614150741577113,0.0036228114212036202
0.4500,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9288803339004517,1.8031927347183228,3.965705394744873,-0.01790388487279415,-0.023699244484305382,-0.0007072958978824317,-1.598620057106018,-0.0006279541412368417,-0.9652474793618738,1.7798648614934696,3.965122,-0.03636714546142217,-0.02332787322485319,-0.0005833947448730115,0.0181140571060181,-0.24320253525527272,0.0023614913524811977,0.0,-0.03636714546142217,-0.02332787322485319,-0.0005833947448730115,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.27956968071669486,-0.020966381872371993,-0.0005833947448730115,0.0036228114212036202
0.5000,-0.974957,0.779912,2.965122,-0.014187,-0.03201,-0.000253,-1.580506,0.243214,-0.9288803339004517,1.8031927347183228,3.965705394744873,-0.01790388487279415,-0.023699244484305382,-0.0007072958978824317,-1.598620057106018,-0.0006279541412368417,-0.9652474793618738,1.7798648614934696,3.965122,-0.03636714546142217,-0.02332787322485319,-0.0005833947448730115,0.0181140571060181,-0.24320253525527272,0.0023614913524811977,0.0,-0.03636714546142217,-0.02332787322485319,-0.0005833947448730115,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.27956968071669486,-0.020966381872371993,-0.0005833947448730115,0.0036228114212036202
