time,lx,ly,lz,sx,sy,sz,fx,fy,fz
0.1910090446472168,9.521411895751953,-15.847794532775879,5.959750652313232,10.521411895751953,-15.847794532775879,7.459750652313232,11.889115333557129,-17.182435989379883,5.95953369140625
0.4413154125213623,9.523151397705078,-15.8480863571167,5.959696292877197,10.523151397705078,-15.8480863571167,7.459696292877197,11.888364791870117,-17.182010650634766,5.96115779876709
0.49865221977233887,9.523151397705078,-15.8480863571167,5.959696292877197,10.523151397705078,-15.8480863571167,7.459696292877197,11.888364791870117,-17.182010650634766,5.96115779876709
0.5680637359619141,9.525572776794434,-15.848509788513184,5.959629058837891,10.525572776794434,-15.848509788513184,7.459629058837891,11.888364791870117,-17.182010650634766,5.96115779876709
0.6431782245635986,9.525572776794434,-15.848509788513184,5.959629058837891,10.525572776794434,-15.848509788513184,7.459629058837891,11.863078117370605,-17.158103942871094,5.9951934814453125
0.7072947025299072,9.525572776794434,-15.848509788513184,5.959629058837891,10.525572776794434,-15.848509788513184,7.459629058837891,11.863078117370605,-17.158103942871094,5.9951934814453125
0.7743484973907471,9.527578353881836,-15.848963737487793,5.9596099853515625,10.527578353881836,-15.848963737487793,7.4596099853515625,11.863078117370605,-17.158103942871094,5.9951934814453125
0.8529884815216064,9.527578353881836,-15.848963737487793,5.9596099853515625,10.527578353881836,-15.848963737487793,7.4596099853515625,11.863078117370605,-17.158103942871094,5.9951934814453125
0.9320306777954102,9.527578353881836,-15.848963737487793,5.9596099853515625,10.527578353881836,-15.848963737487793,7.4596099853515625,11.754387855529785,-17.05414581298828,6.090575218200684
1.0186846256256104,9.52878189086914,-15.84947395324707,5.959617614746094,10.52878189086914,-15.84947395324707,7.459617614746094,11.754387855529785,-17.05414581298828,6.090575218200684
1.0820767879486084,9.52878189086914,-15.84947395324707,5.959617614746094,10.52878189086914,-15.84947395324707,7.459617614746094,11.754387855529785,-17.05414581298828,6.090575218200684
1.1598501205444336,9.52878189086914,-15.84947395324707,5.959617614746094,10.52878189086914,-15.84947395324707,7.459617614746094,11.556724548339844,-16.86517906188965,6.258178234100342
1.235931634902954,9.52878189086914,-15.84947395324707,5.959617614746094,10.52878189086914,-15.84947395324707,7.459617614746094,11.556724548339844,-16.86517906188965,6.258178234100342
1.299344539642334,9.52950668334961,-15.849773406982422,5.95964241027832,10.52950668334961,-15.849773406982422,7.45964241027832,11.556724548339844,-16.86517906188965,6.258178234100342
1.3655469417572021,9.52950668334961,-15.849773406982422,5.95964241027832,10.52950668334961,-15.849773406982422,7.45964241027832,11.328761100769043,-16.646860122680664,6.492856025695801
1.449310064315796,9.52950668334961,-15.849773406982422,5.95964241027832,10.52950668334961,-15.849773406982422,7.45964241027832,11.328761100769043,-16.646860122680664,6.492856025695801
1.5212862491607666,9.52950668334961,-15.849773406982422,5.95964241027832,10.52950668334961,-15.849773406982422,7.45964241027832,11.328761100769043,-16.646860122680664,6.492856025695801
1.599562406539917,9.530031204223633,-15.84986686706543,5.959690093994141,10.530031204223633,-15.84986686706543,7.459690093994141,11.328761100769043,-16.646860122680664,6.492856025695801
1.6627063751220703,9.530031204223633,-15.84986686706543,5.959690093994141,10.530031204223633,-15.84986686706543,7.459690093994141,11.109500885009766,-16.436838150024414,6.749264717102051
1.7242794036865234,9.530031204223633,-15.84986686706543,5.959690093994141,10.530031204223633,-15.84986686706543,7.459690093994141,11.109500885009766,-16.436838150024414,6.749264717102051
1.7913568019866943,9.530317306518555,-15.849971771240234,5.959718227386475,10.530317306518555,-15.849971771240234,7.459718227386475,11.109500885009766,-16.436838150024414,6.749264717102051
1.8642463684082031,9.530317306518555,-15.849971771240234,5.959718227386475,10.530317306518555,-15.849971771240234,7.459718227386475,10.915114402770996,-16.250518798828125,6.990265846252441
1.9288783073425293,9.530317306518555,-15.849971771240234,5.959718227386475,10.530317306518555,-15.849971771240234,7.459718227386475,10.915114402770996,-16.250518798828125,6.990265846252441
1.9991495609283447,9.530317306518555,-15.849971771240234,5.959718227386475,10.530317306518555,-15.849971771240234,7.459718227386475,10.915114402770996,-16.250518798828125,6.990265846252441
2.075282096862793,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.915114402770996,-16.250518798828125,6.990265846252441
2.147451639175415,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.757058143615723,-16.09739875793457,7.192728042602539
2.2257678508758545,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.757058143615723,-16.09739875793457,7.192728042602539
2.3060741424560547,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.757058143615723,-16.09739875793457,7.192728042602539
2.371598958969116,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.637319564819336,-15.979177474975586,7.348496913909912
2.4391672611236572,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.637319564819336,-15.979177474975586,7.348496913909912
2.500314474105835,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.637319564819336,-15.979177474975586,7.348496913909912
2.563876152038574,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.637319564819336,-15.979177474975586,7.348496913909912
2.6353061199188232,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.552766799926758,-15.894004821777344,7.4549665451049805
2.6920173168182373,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.552766799926758,-15.894004821777344,7.4549665451049805
2.7653234004974365,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.552766799926758,-15.894004821777344,7.4549665451049805
2.8317711353302,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.552766799926758,-15.894004821777344,7.4549665451049805
2.9094326496124268,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.497581481933594,-15.836915016174316,7.51159143447876
2.9838340282440186,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.497581481933594,-15.836915016174316,7.51159143447876
3.0509238243103027,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.497581481933594,-15.836915016174316,7.51159143447876
3.12094783782959,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.497581481933594,-15.836915016174316,7.51159143447876
3.199342727661133,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.4667329788208,-15.803088188171387,7.52324104309082
3.2601990699768066,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.4667329788208,-15.803088188171387,7.52324104309082
3.329589605331421,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.4667329788208,-15.803088188171387,7.52324104309082
3.411017417907715,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.45394515991211,-15.78660774230957,7.508486270904541
3.458177089691162,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.45394515991211,-15.78660774230957,7.508486270904541
3.5458059310913086,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.45394515991211,-15.78660774230957,7.508486270904541
3.625039577484131,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.453224182128906,-15.781415939331055,7.485396385192871
3.708357095718384,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.453224182128906,-15.781415939331055,7.485396385192871
3.780857801437378,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.453224182128906,-15.781415939331055,7.485396385192871
3.864797830581665,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.453224182128906,-15.781415939331055,7.485396385192871
3.937319755554199,9.530406951904297,-15.849990844726562,5.959716320037842,10.530406951904297,-15.849990844726562,7.459716320037842,10.45919418334961,-15.782608985900879,7.465226650238037
