time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,lz_sp,lex,ley,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,-3.974686,0.026784,2.998592,-0.010289,0.007282,0.00109,3.130502,3e-05,-3.974686,0.026784,2.998592,0.0,0.0,-4.960655212402344,0.03344711661338806,2.999613046646118,-0.01197387371212244,0.00384579342789948,0.0003429715579841286,3.13065767288208,-0.0004708878695964813,-4.974624499331875,0.037874426227992565,3.998592,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.00015567288208018226,-3.32712786839777e-07,-2.999815497995624e-05,0.0,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.0,0.0,0.0,0.0,0.0,0.0,-0.013969619642317984,0.004397311459624547,0.9989789533538818,-0.0003113457641603645
0.1000,-3.974686,0.026784,2.998592,-0.010289,0.007282,0.00109,3.130502,3e-05,-3.9739499999993444,-0.04841055003277539,2.998592,0.0007360000006556511,-0.0751949000327764,-4.960655212402344,0.03344711661338806,2.999613046646118,-0.01197387371212244,0.00384579342789948,0.0003429715579841286,3.13065767288208,-0.0004708878695964813,-4.974624499331875,0.037874426227992565,3.998592,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.00015567288208018226,-3.32712786839777e-07,-2.999815497995624e-05,0.0,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.0,0.0,0.0,0.0,0.0,0.0,-0.013969619642317984,0.004397311459624547,0.9989789533538818,-0.0003113457641603645
0.1500,-3.974686,0.026784,2.998592,-0.010289,0.007282,0.00109,3.130502,3e-05,-3.9708528500043245,-0.14755904990174762,2.998592,0.0038331499956757763,-0.17434304990174762,-4.960655212402344,0.03344711661338806,2.999613046646118,-0.01197387371212244,0.00384579342789948,0.0003429715579841286,3.13065767288208,-0.0004708878695964813,-4.974624499331875,0.037874426227992565,3.998592,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.00015567288208018226,-3.32712786839777e-07,-2.999815497995624e-05,0.0,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.0,0.0,0.0,0.0,0.0,0.0,-0.013969619642317984,0.004397311459624547,0.9989789533538818,-0.0003113457641603645
0.2000,-3.974686,0.026784,2.998592,-0.010289,0.007282,0.00109,3.130502,3e-05,-3.968319050005272,-0.19869609991224246,2.998592,0.006365949994727735,-0.22548009991224247,-4.960655212402344,0.03344711661338806,2.999613046646118,-0.01197387371212244,0.00384579342789948,0.0003429715579841286,3.13065767288208,-0.0004708878695964813,-4.974624499331875,0.037874426227992565,3.998592,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.00015567288208018226,-3.32712786839777e-07,-2.999815497995624e-05,0.0,-0.013969286929531144,0.0044273096146045035,0.9989789533538818,-0.0,0.0,0.0,0.0,0.0,0.0,-0.013969619642317984,0.004397311459624547,0.9989789533538818,-0.0003113457641603645
0.2500,-3.974686,0.026784,2.998592,-0.010289,0.007282,0.00109,3.1321812960654687,0.021166049855647077,-3.96148940000275,-0.2976571999673322,2.998592,0.013195749997249338,-0.3244420499673332,-4.960655212402344,0.03344711661338806,2.999613046646118,-0.01197387371212244,0.00384579342789948,0.0003429715579841286,3.13065767288208,-0.0004708878695964813,-4.974641713501661,0.03619521859189123,3.998592,-0.01398650109931765,0.00274810197850317,0.9989789533538818,0.0015236231833886116,-0.0001991983219183625,-0.021165112485415298,0.0,-0.01398650109931765,0.00274810197850317,0.9989789533538818,-0.0,0.0,0.0,0.0,0.0,0.0,-0.014185699421236013,-0.018417010506912128,0.9989789533538818,0.003047246366777223
0.3000,-3.974785,0.025253,2.998908,-0.007288,-0.015861,-0.000475,-3.141488,0.140937,-3.9546704999999998,-0.372546,2.998592,0.0201145,-0.3977995,-4.959128379821777,0.031650811433792114,3.002413511276245,-0.014363300055265427,0.0043391571380198,0.05361965298652649,3.130707263946533,-0.000689684646204114,-4.974784994523813,0.025148346410397635,3.998908,-0.01565661470203583,-0.00650246502339448,0.996494488723755,0.010990043233053437,1.4749562957788959e-05,-0.14093699922820266,0.0,-0.01565661470203583,-0.00650246502339448,0.996494488723755,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.015641865139078042,-0.14743946425159715,0.996494488723755,0.021980086466106875
0.3500,-3.974785,0.025253,2.998908,-0.007288,-0.015861,-0.000475,-3.141488,0.140937,-3.9433473000068195,-0.4727047499452878,2.998592,0.03143769999318057,-0.49795809994528956,-4.959128379821777,0.031650811433792114,3.002413511276245,-0.014363300055265427,0.0043391571380198,0.05361965298652649,3.130707263946533,-0.000689684646204114,-4.974784994523813,0.025148346410397635,3.998908,-0.01565661470203583,-0.00650246502339448,0.996494488723755,0.010990043233053437,1.4749562957788959e-05,-0.14093699922820266,0.0,-0.01565661470203583,-0.00650246502339448,0.996494488723755,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.015641865139078042,-0.14743946425159715,0.996494488723755,0.021980086466106875
0.4000,-3.974785,0.025253,2.998908,-0.007288,-0.015861,-0.000475,-3.141488,0.140937,-3.936857800016845,-0.5218773998804812,2.998592,0.037927199983154886,-0.547131199880485,-4.959128379821777,0.031650811433792114,3.002413511276245,-0.014363300055265427,0.0043391571380198,0.05361965298652649,3.130707263946533,-0.000689684646204114,-4.974784994523813,0.025148346410397635,3.998908,-0.01565661470203583,-0.00650246502339448,0.996494488723755,0.010990043233053437,1.4749562957788959e-05,-0.14093699922820266,0.0,-0.01565661470203583,-0.00650246502339448,0.996494488723755,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.015641865139078042,-0.14743946425159715,0.996494488723755,0.021980086466106875
0.4500,-3.974785,0.025253,2.998908,-0.007288,-0.015861,-0.000475,-3.141488,0.140937,-3.9220275000107057,-0.6199592999353138,2.998592,0.052757499989294444,-0.6452129999353159,-4.959128379821777,0.031650811433792114,3.002413511276245,-0.014363300055265427,0.0043391571380198,0.05361965298652649,3.130707263946533,-0.000689684646204114,-4.974784994523813,0.025148346410397635,3.998908,-0.01565661470203583,-0.00650246502339448,0.996494488723755,0.010990043233053437,1.4749562957788959e-05,-0.14093699922820266,0.0,-0.01565661470203583,-0.00650246502339448,0.996494488723755,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.015641865139078042,-0.14743946425159715,0.996494488723755,0.021980086466106875
0.5000,-3.974785,0.025253,2.998908,-0.007288,-0.015861,-0.000475,-3.0862978000869843,0.3652753996464235,-3.909169150005869,-0.6940509499677471,2.998592,0.06561584999413089,-0.7193039499677472,-4.959128379821777,0.031650811433792114,3.002413511276245,-0.014363300055265427,0.0043391571380198,0.05361965298652649,3.130707263946533,-0.000689684646204114,-4.973256629066421,-0.030013680282491056,3.998908,-0.014128249244643953,-0.061664491716283173,0.996494488723755,0.06618024314606899,0.020187558727318037,-0.36471712334285256,0.0,-0.014128249244643953,-0.061664491716283173,0.996494488723755,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0060593094826740836,-0.42638161505913574,0.996494488723755,0.13236048629213798
