Número de Vuelo,Inicio (s),Fin (s),Duración (s),Duración (min:seg),Voltaje Inicial (V),Voltaje Final (V),Voltaje Mínimo (V),Voltaje Máximo (V),Caída de Voltaje(sag) (V),Tiempo al Voltaje Mínimo (s),Pendiente Descarga (V/s),Pendiente Descarga (V/min),I Máxima (A),I Promedio en Vuelo (A),Potencia Máxima (W),Potencia Promedio (W),Energía Consumida (J),Energía Consumida (Wh),mAh Consumidos,C-rate Promedio
1,1765575406.253572,1765575533.8869848,127.63341283798218,2:07,11.903,11.705,11.082,11.903,0.8209999999999997,119.48723292350769,-0.006871026970099646,-0.4122616182059788,19.84,16.24373134328359,221.75168,183.60196729211103,23642.93496466141,6.567481934628169,575.9007968240513,2.4990355912743984
2,1765575590.8684568,1765575639.779016,48.91055917739868,0:48,11.133000000000001,11.642,11.013,11.642,0.120000000000001,42.336246967315674,-0.002834450585396554,-0.17006703512379323,22.04,16.69114035087719,243.74036,185.34926707602352,9139.866256764997,2.538851737990277,226.77027996384606,2.5678677462887984
3,1765575726.6446679,1765575761.4250739,34.78040599822998,0:34,11.091000000000001,11.588000000000001,10.919,11.611,0.1720000000000006,30.40291714668274,-0.005657351864301861,-0.33944111185811165,22.150000000000002,17.129673469387765,244.49170000000004,189.229525510204,6641.94493278071,1.8449847035501972,165.4936105228931,2.6353343799058098
4,1765575814.560782,1765575828.1749408,13.614158868789673,0:13,11.282,11.608,10.964,11.627,0.3179999999999996,9.561920881271362,-0.03325691604736621,-1.9954149628419728,21.1,15.518918918918917,232.41650000000004,171.49131094594594,2407.536762457048,0.6687602117936244,58.68806323167439,2.3875259875259873
5,1765575974.409072,1765576020.9054558,46.49638390541077,0:46,11.507,11.513,10.884,11.527000000000001,0.6229999999999993,41.669342041015625,-0.014951040008905661,-0.8970624005343397,21.09,16.91633846153847,232.66488,185.95996175384616,8671.231301151254,2.408675361430904,218.48571316154397,2.602513609467457
6,1765576164.5826628,1765576219.560498,54.977835178375244,0:54,10.946,11.444,10.775,11.495000000000001,0.17099999999999937,50.48261117935181,-0.00338730497502358,-0.20323829850141478,19.990000000000002,16.357797927461135,218.01094000000003,178.3001318134714,9857.55255423608,2.7382090428433554,249.81008842697958,2.5165842965324825
7,1765576280.005398,1765576345.420004,65.41460585594177,1:05,11.178,11.349,10.692,11.363,0.48600000000000065,53.533169984817505,-0.009078483492343806,-0.5447090095406284,21.07,16.88102296450942,228.25131000000002,182.34396175365345,11972.5121368316,3.3256978157865555,306.74040657457925,2.5970804560783725
8,1765576505.274142,1765576517.468001,12.193858861923218,0:12,11.244,11.357000000000001,10.744,11.367,0.5,10.360808849334717,-0.04825878049396749,-2.8955268296380496,20.23,14.93816091954023,218.16032,161.77588310344825,2017.4213143791592,0.5603948095497664,50.598284974880755,2.2981786030061895
9,1765576742.69973,1765576780.348834,37.64910411834717,0:37,11.22,11.286,10.544,11.346,0.6760000000000002,33.405884981155396,-0.020235955442621523,-1.2141573265572914,22.1,16.396666666666672,233.02240000000003,176.2332079215687,6662.359057547781,1.8506552937632725,171.47772514643498,2.5225641025641035
