timestamp_unix,t,drone,label,tx,ty,tz,x,y,z,ex,ey,ez,dist_xy,dist_z,speed,in_zone
1780340403.882286,0.0000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8420,-0.0296,0.0314,0.1580,0.0432,0.1580,0.0141,1
1780340403.933158,0.0470,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8420,-0.0296,0.0314,0.1580,0.0432,0.1580,0.0141,1
1780340403.986803,0.0940,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8420,-0.0296,0.0314,0.1580,0.0432,0.1580,0.0141,1
1780340404.043330,0.1570,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8420,-0.0296,0.0314,0.1580,0.0432,0.1580,0.0141,1
1780340404.086698,0.2040,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.133337,0.2500,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.183888,0.2970,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.237302,0.3440,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.293912,0.4070,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.337613,0.4540,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0141,1
1780340404.387032,0.5000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0000,1
1780340404.440474,0.5470,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0000,1
1780340404.493883,0.6100,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8440,-0.0296,0.0314,0.1560,0.0432,0.1560,0.0000,1
1780340404.534348,0.6410,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9704,-0.0314,3.8726,-0.0296,0.0314,0.1274,0.0432,0.1274,0.0000,1
1780340404.594003,0.7040,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0314,3.9324,-0.0185,0.0314,0.0676,0.0365,0.0676,0.0141,1
1780340404.640360,0.7500,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0314,3.9324,-0.0185,0.0314,0.0676,0.0365,0.0676,0.0141,1
1780340404.691183,0.7970,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0314,3.9324,-0.0185,0.0314,0.0676,0.0365,0.0676,0.0141,1
1780340404.744438,0.8600,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0314,3.9324,-0.0185,0.0314,0.0676,0.0365,0.0676,0.0141,1
1780340404.785054,0.8910,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0314,3.9324,-0.0185,0.0314,0.0676,0.0365,0.0676,0.0141,1
1780340404.844456,0.9540,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0210,3.9324,-0.0185,0.0210,0.0676,0.0279,0.0676,0.0224,1
1780340404.891627,1.0000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0210,3.9324,-0.0185,0.0210,0.0676,0.0279,0.0676,0.0224,1
1780340404.943270,1.0470,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0210,3.9324,-0.0185,0.0210,0.0676,0.0279,0.0676,0.0224,1
1780340404.996733,1.1100,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0210,3.9979,-0.0185,0.0210,0.0021,0.0279,0.0021,0.0224,1
1780340405.037117,1.1410,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9815,-0.0210,3.9979,-0.0185,0.0210,0.0021,0.0279,0.0021,0.0224,1
1780340405.096677,1.2040,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9927,-0.0105,4.0470,-0.0073,0.0105,-0.0470,0.0128,0.0470,0.0224,1
1780340405.143130,1.2500,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9927,-0.0105,4.0470,-0.0073,0.0105,-0.0470,0.0128,0.0470,0.0224,1
1780340405.193797,1.3130,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9927,-0.0105,4.0470,-0.0073,0.0105,-0.0470,0.0128,0.0470,0.0224,1
1780340405.231740,1.3440,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-4.9927,-0.0105,4.0470,-0.0073,0.0105,-0.0470,0.0128,0.0470,0.0224,1
