time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd
0.47004222869873047,-0.05362493172287941,-23.005165100097656,3.9601235389709473,-0.02378295361995697,-0.004031290300190449,-0.00039122370071709156,-2.3303608894348145,-0.0003093855921179056,0.004337459336966276,0.0032970679458230734,3.9597249031066895,0.011038361117243767,-0.020496264100074768,0.0003376596432644874,6.157242023618892e-05,-0.0006508700316771865,1.3235865865367251,-21.55489325179711,3.9601235389709473,1.3192491271997588,-21.558190319742934,0.0003986358642578125,-2.3304224618550506,0.000448693214518393,-0.0004260894010483475,0.0,0.6596245635998794,-10.779095159871467,0.00019931793212890625,0.0032981228179993975,-0.05389547579935734,9.965896606445314e-07,-0.006964262947440148,0.003292994759976864,-0.0001457766687963158,0.18149509360346122,-2.994504889125725,5.4537852993234975e-05
1.6541333198547363,-0.05432421341538429,-23.005918502807617,3.9597246646881104,-0.024086782708764076,-0.003309918800368905,0.0001719164865789935,-2.3304059505462646,-0.0009448662167415023,0.00029192736838012934,0.0025583868846297264,3.959677219390869,0.014112360775470734,-0.020097311586141586,0.00036531983641907573,0.0001893287553684786,-0.00040452415123581886,1.3229526543073709,-21.555708714661158,3.9597246646881104,1.3226607269389907,-21.558267101545788,4.744529724121094e-05,-2.330595279301633,0.0013702542360074397,-0.0013013423834107862,0.0,0.6613303634694954,-10.779133550772894,2.372264862060547e-05,0.006604774635346875,-0.1,1.1152029037475589e-06,-0.0076398286968469625,0.0033574785571545366,-3.868066996801645e-05,0.1821568517566755,-2.9944647069815495,-1.3842818443663425e-05
1.6920597553253174,-0.05432421341538429,-23.005918502807617,3.9597246646881104,-0.024086782708764076,-0.003309918800368905,0.0001719164865789935,-2.3304059505462646,-0.0009448662167415023,0.00029192736838012934,0.0025583868846297264,3.959677219390869,0.014112360775470734,-0.020097311586141586,0.00036531983641907573,0.0001893287553684786,-0.00040452415123581886,1.3229526543073709,-21.555708714661158,3.9597246646881104,1.3226607269389907,-21.558267101545788,4.744529724121094e-05,-2.330595279301633,0.0013702542360074397,-0.0013013423834107862,0.0,0.6613303634694954,-10.779133550772894,2.372264862060547e-05,0.009911426452694353,-0.1,1.2338161468505861e-06,-0.0076398286968469625,0.0033574785571545366,-3.868066996801645e-05,0.18306379333477832,-2.9944093987913347,-1.3724205200560397e-05
2.002321243286133,-0.05476762354373932,-23.00577163696289,3.959623336791992,-0.024087946861982346,-0.002980950055643916,7.199675019364804e-05,-2.3303439617156982,2.5753164663910866e-05,-0.0003936186549253762,0.002546110888943076,3.959685802459717,0.01514942292124033,-0.019686663523316383,0.0004737440904136747,0.0001882441429188475,-0.0005641764728352427,1.322419344724058,-21.555476475820388,3.959623336791992,1.3228129633789834,-21.55802258670933,-6.246566772460938e-05,-2.330532205858617,-3.7349690096175975e-05,3.5466922766792775e-05,0.0,0.6614064816894917,-10.779011293354666,-3.123283386230469e-05,0.013218458861141811,-0.1,1.0776519775390626e-06,-0.007847473956644535,0.003341142693534494,-8.034946804400534e-05,0.18357292689211063,-2.9943782293678702,-0.00011050464992877097
2.026850700378418,-0.05476762354373932,-23.00577163696289,3.959623336791992,-0.024087946861982346,-0.002980950055643916,7.199675019364804e-05,-2.3303439617156982,2.5753164663910866e-05,-0.0003936186549253762,0.002546110888943076,3.959685802459717,0.01514942292124033,-0.019686663523316383,0.0004737440904136747,0.0001882441429188475,-0.0005641764728352427,1.322419344724058,-21.555476475820388,3.959623336791992,1.3228129633789834,-21.55802258670933,-6.246566772460938e-05,-2.330532205858617,-3.7349690096175975e-05,3.5466922766792775e-05,0.0,0.6614064816894917,-10.779011293354666,-3.123283386230469e-05,0.016525491269589267,-0.1,9.214878082275392e-07,-0.007847473956644535,0.003341142693534494,-8.034946804400534e-05,0.18448001439134615,-2.994322481679314,-0.00011066081409808249
2.0433218479156494,-0.05476762354373932,-23.00577163696289,3.959623336791992,-0.024087946861982346,-0.002980950055643916,7.199675019364804e-05,-2.3302948474884033,-0.0004245438612997532,-0.0003936186549253762,0.002546110888943076,3.959685802459717,0.01514942292124033,-0.019686663523316383,0.0004737440904136747,0.0001882441429188475,-0.0005641764728352427,1.3223481129368673,-21.555408838095836,3.959623336791992,1.3227417315917926,-21.55795494898478,-6.246566772460938e-05,-2.330483091631322,0.0006157426229165367,-0.0005846460322221301,0.0,0.6613708657958963,-10.77897747449239,-3.123283386230469e-05,0.01983234559856875,-0.1,7.653236389160158e-07,-0.007847473956644535,0.003341142693534494,-8.034946804400534e-05,0.18554639069019102,-2.9942565916938118,-0.000110816978267394
2.075533151626587,-0.05464227870106697,-23.005502700805664,3.959588050842285,-0.023384805768728256,-0.00302114081569016,0.0005302999634295702,-2.3302948474884033,-0.0004245438612997532,-0.0003936186549253762,0.002546110888943076,3.959685802459717,0.01514942292124033,-0.019686663523316383,0.0004737440904136747,0.0001882441429188475,-0.0005641764728352427,1.3224734577795396,-21.55513990193861,3.959588050842285,1.322867076434465,-21.557686012827553,-9.775161743164062e-05,-2.330483091631322,0.0006157426229165367,-0.0005846460322221301,0.0,0.6614335382172325,-10.778843006413776,-4.887580871582031e-05,0.023139513289654915,-0.1,5.209445953369143e-07,-0.007706845737993718,0.0033331045415252447,1.1311174603179097e-05,0.18651126723767572,-2.994196644710129,-3.70436895173043e-05
2.101667642593384,-0.05464227870106697,-23.005502700805664,3.959588050842285,-0.023384805768728256,-0.00302114081569016,0.0005302999634295702,-2.3302948474884033,-0.0004245438612997532,-0.0003936186549253762,0.002546110888943076,3.959685802459717,0.01514942292124033,-0.019686663523316383,0.0004737440904136747,0.00010172517067985609,-0.000728876213543117,1.3224734577795396,-21.55513990193861,3.959588050842285,1.322867076434465,-21.557686012827553,-9.775161743164062e-05,-2.330396572659083,0.0006157426229165367,-0.0005846460322221301,0.0,0.6614335382172325,-10.778843006413776,-4.887580871582031e-05,0.02644668098074108,-0.1,2.765655517578127e-07,-0.007706845737993718,0.0033331045415252447,1.1311174603179097e-05,0.1874181880735465,-2.994140013890337,-3.7288068560883404e-05
2.423682689666748,-0.0544135607779026,-23.005659103393555,3.9595744609832764,-0.0230571161955595,-0.003418401349335909,0.00018807416199706495,-2.3303658962249756,-0.0012579464819282293,-0.0008686964865773916,0.0026499612722545862,3.9596428871154785,0.0164358988404274,-0.019670231267809868,0.00034791158395819366,0.0001896779431262985,0.0001599458046257496,1.322805218671261,-21.555394150520268,3.9595744609832764,1.3236739151578385,-21.558044111792523,-6.842613220214844e-05,-2.330555574168102,0.0018243556953307601,-0.0017324675184535656,0.0,0.6618369575789192,-10.779022055896261,-3.421306610107422e-05,0.029755865768635675,-0.1,1.0550022125244159e-07,-0.00789860300719738,0.003250365983694792,-3.1967484392225746e-05,0.18869069408676375,-2.9940600899055205,-6.607505027204753e-05
2.653580904006958,-0.05442887917160988,-23.007139205932617,3.959540605545044,-0.023344382643699646,-0.0036012984346598387,0.00026423786766827106,-2.330498456954956,-0.0005623148754239082,-0.0006189458072185516,0.0023931749165058136,3.959635019302368,0.017143316566944122,-0.019810238853096962,0.00031730890623293817,0.00030178469023667276,-0.0005048136226832867,1.3229821363573255,-21.557056830927824,3.959540605545044,1.323601082164544,-21.55945000584433,-9.441375732421875e-05,-2.3308002416451927,0.0008154028900552264,-0.0007745387036046722,0.0,0.661800541082272,-10.779725002922165,-4.7206878662109375e-05,0.03306486847404704,-0.1,-1.305341720581053e-07,-0.008097539842128755,0.003241788083687425,-1.0614207712933422e-05,0.1892610187656708,-2.99402409255099,-5.79516205471009e-05
