variable,units,IAE,ISE,ITAE,RMS_error,max_error,mean_error,std_error
e_x (seguidor),m,36.761492649999994,61.036360701555,642.60781750295,1.2989439184836469,2.907,1.0173441828254848,1.298761792117776
e_y (seguidor),m,36.73843225,51.343683772135,660.7740141747,1.192180370011136,2.893,1.0173153739612188,1.19214706095536
e_z (seguidor),m,7.707487299999999,4.34537865405,98.58060874935,0.34857974141060416,1.3516,0.21438891966759,0.3404072569563504
e_ψ (seguidor),rad,9.8078833,5.3205798161099995,141.44759345115,0.3859351744504721,1.6062,0.272547783933518,0.35907066629076445
error_xy (seguidor),m,57.1101304,112.38063182919001,1030.3103192118,1.7631123127768615,3.598,1.5809940443213295,0.7803991666358053
formación XY,m,12.0677642,6.214186548229998,196.04720628445,0.4154844205238758,0.9806999999999999,0.3350965373961218,0.24563715989888502
