t,x,y,z,vx,vy,vz,yaw,yaw_rate
0.00000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.02000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.04000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.06000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.08000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.10000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.12000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.14000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.16000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.18000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.20000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.22000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.24000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.940704,0.000201
0.26000,0.006408,0.028398,3.000926,-0.001627,-0.021637,-0.001227,1.963724,0.327416
0.28000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.30000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.32000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.34000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.36000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.38000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.40000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.42000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.44000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.46000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.48000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,1.963724,0.327416
0.50000,0.006818,0.027551,3.000449,-0.001630,-0.039685,-0.000243,2.199274,1.383677
0.52000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.54000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.56000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.58000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.60000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.62000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.64000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.66000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.68000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.70000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.72000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.74000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.199274,1.383677
0.76000,0.009639,0.007261,3.000001,0.009584,-0.192374,0.000110,2.581784,1.501558
0.78000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.80000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.82000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.84000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.86000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.88000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.90000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.92000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.94000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.96000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
0.98000,0.018468,-0.063581,2.999627,0.041098,-0.440832,0.000720,2.581784,1.501558
1.00000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.02000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.04000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.06000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.08000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.10000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.12000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.14000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.16000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.18000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.20000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.22000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.24000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,2.898521,1.061458
1.26000,0.037581,-0.199308,2.999495,0.096380,-0.711051,0.001714,3.130026,0.877432
1.28000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.30000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.32000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.34000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.36000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.38000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.40000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.42000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.44000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.46000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.48000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,3.130026,0.877432
1.50000,0.072884,-0.398508,2.999712,0.176120,-0.956227,0.002308,-2.920849,0.993978
1.52000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.54000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.56000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.58000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.60000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.62000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.64000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.66000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.68000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.70000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.72000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.920849,0.993978
1.74000,0.130622,-0.651520,3.000418,0.275177,-1.147065,0.002329,-2.652859,1.097458
1.76000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.78000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.80000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.82000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.84000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.86000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.88000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.90000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.92000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.94000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.96000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.652859,1.097458
1.98000,0.214856,-0.948182,3.001151,0.389479,-1.278415,0.001410,-2.378313,1.082524
2.00000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.02000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.04000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.06000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.08000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.10000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.12000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.14000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.16000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.18000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.20000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.22000,0.327949,-1.268482,3.001749,0.514477,-1.353330,0.000326,-2.378313,1.082524
2.24000,0.473186,-1.601293,3.002145,0.644947,-1.376696,-0.000392,-2.113744,1.037169
2.26000,0.473186,-1.601293,3.002145,0.644947,-1.376696,-0.000392,-2.113744,1.037169
2.28000,0.473186,-1.601293,3.002145,0.644947,-1.376696,-0.000392,-2.113744,1.037169
2.30000,0.473186,-1.601293,3.002145,0.644947,-1.376696,-0.000392,-2.113744,1.037169
