variable,units,IAE
e_x (follower),m,17.01306991128085
e_y (follower),m,13.990008569519528
e_z (follower),m,1.362256675705611
e_ψ (follower),rad,3.8182817699729
error_xy (follower),m,24.08852272450367
formation error,m,11.270113598731804
