t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,er_L,et_L
0.72000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.347337,0.548933,0.184583,-1.079831,2.956111,-0.002777,-1.130275
0.74000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.193794,-1.110477,2.956111,-0.010085,-1.091024
0.76000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.203251,-1.141047,2.956111,-0.010085,-1.123024
0.78000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.212952,-1.171541,2.956111,-0.010085,-1.155024
0.80000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.222896,-1.201957,2.956111,-0.010085,-1.187024
0.82000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.233084,-1.232292,2.956111,-0.010085,-1.219024
0.84000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.243514,-1.262544,2.956111,-0.010085,-1.251024
0.86000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.254185,-1.292712,2.956111,-0.010085,-1.283024
0.88000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.265098,-1.322794,2.956111,-0.010085,-1.315024
0.90000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.276251,-1.352788,2.956111,-0.010085,-1.347024
0.92000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.287643,-1.382691,2.956111,-0.010085,-1.379024
0.94000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.347337,0.548933,0.299275,-1.412502,2.956111,-0.010085,-1.411024
0.96000,0.031001,-0.036424,2.955576,0.035729,-0.439249,-0.000690,-1.227855,0.406768,0.311144,-1.442219,2.956111,-0.010085,-1.443024
0.98000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.323251,-1.471841,2.956111,-0.023211,-1.337679
1.00000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.335594,-1.501364,2.956111,-0.023211,-1.369679
1.02000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.348173,-1.530788,2.956111,-0.023211,-1.401679
1.04000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.360987,-1.560110,2.956111,-0.023211,-1.433679
1.06000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.374036,-1.589329,2.956111,-0.023211,-1.465679
1.08000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.387317,-1.618442,2.956111,-0.023211,-1.497679
1.10000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.400831,-1.647449,2.956111,-0.023211,-1.529679
1.12000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.414577,-1.676346,2.956111,-0.023211,-1.561679
1.14000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.428554,-1.705132,2.956111,-0.023211,-1.593679
1.16000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.442760,-1.733806,2.956111,-0.023211,-1.625679
1.18000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.457195,-1.762365,2.956111,-0.023211,-1.657679
1.20000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.227855,0.406768,0.471858,-1.790807,2.956111,-0.023211,-1.689679
1.22000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.136493,0.345100,0.486749,-1.819132,2.956111,-0.023211,-1.721679
1.24000,0.049640,-0.172549,2.955671,0.092354,-0.710297,0.000550,-1.136493,0.345100,0.501865,-1.847336,2.956111,-0.023211,-1.753679
1.26000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.517207,-1.875419,2.956111,-0.041852,-1.581557
1.28000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.532772,-1.903378,2.956111,-0.041852,-1.613557
1.30000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.548561,-1.931211,2.956111,-0.041852,-1.645557
1.32000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.564572,-1.958918,2.956111,-0.041852,-1.677557
1.34000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.580805,-1.986495,2.956111,-0.041852,-1.709557
1.36000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.597257,-2.013942,2.956111,-0.041852,-1.741557
1.38000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.613928,-2.041256,2.956111,-0.041852,-1.773557
1.40000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.630818,-2.068436,2.956111,-0.041852,-1.805557
1.42000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.647924,-2.095479,2.956111,-0.041852,-1.837557
1.44000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.665246,-2.122386,2.956111,-0.041852,-1.869557
1.46000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.136493,0.345100,0.682783,-2.149152,2.956111,-0.041852,-1.901557
1.48000,0.085013,-0.372743,2.956004,0.173665,-0.956620,0.001226,-1.047346,0.366916,0.700533,-2.175778,2.956111,-0.041852,-1.933557
1.50000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.718496,-2.202261,2.956111,-0.063348,-1.702199
1.52000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.736670,-2.228599,2.956111,-0.063348,-1.734199
1.54000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.755054,-2.254791,2.956111,-0.063348,-1.766199
1.56000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.773647,-2.280835,2.956111,-0.063348,-1.798199
1.58000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.792448,-2.306729,2.956111,-0.063348,-1.830199
1.60000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.811455,-2.332472,2.956111,-0.063348,-1.862199
1.62000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.830668,-2.358063,2.956111,-0.063348,-1.894199
1.64000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.850085,-2.383499,2.956111,-0.063348,-1.926199
1.66000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.869704,-2.408778,2.956111,-0.063348,-1.958199
1.68000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.889526,-2.433900,2.956111,-0.063348,-1.990199
