timestamp,lat,lon,alt_gps,alt_ned,north,east,down,rtk_x,rtk_y,rtk_z
1749760565.820628226,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760566.40599291,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760566.300888386,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760566.560923714,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760566.820892610,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760567.60934287,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760567.320650599,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760567.560579793,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760567.800973509,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760568.61053446,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760568.320915232,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760568.560863337,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760568.821261136,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760569.80614591,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760569.301142177,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760569.561849038,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760569.804227503,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760570.60652568,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760570.320389134,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760570.560600539,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760570.820688697,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760571.81888016,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760571.304340061,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760571.561579736,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760571.820994757,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760572.40628688,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760572.304351648,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760572.561389301,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760572.820860866,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760573.41323744,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760573.300987441,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760573.581727054,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760573.801324663,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760574.61471890,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760574.301197008,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760574.561346603,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760574.822453949,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760575.60615126,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760575.320664141,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760575.541706038,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760575.802343164,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760576.80948068,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760576.301002901,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760576.560699139,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
