time,lx,ly,lz,sx,sy,sz,fx,fy,fz,ex,ey,ez
0.389923095703125,-2.312589406967163,1.6300969123840332,2.9615793228149414,-1.312589406967163,1.6300969123840332,3.9615793228149414,-1.3221780061721802,1.6378825902938843,3.9630799293518066,0.00958859920501709,-0.007785677909851074,-0.0015006065368652344
1.0513782501220703,-2.3108439445495605,1.6288836002349854,2.9608607292175293,-1.3108439445495605,1.6288836002349854,3.9608607292175293,-1.3215885162353516,1.637337327003479,3.963453531265259,0.010744571685791016,-0.008453726768493652,-0.002592802047729492
1.0934133529663086,-2.3108439445495605,1.6288836002349854,2.9608607292175293,-1.3108439445495605,1.6288836002349854,3.9608607292175293,-1.3208215236663818,1.6368271112442017,3.9634406566619873,0.009977579116821289,-0.007943511009216309,-0.002579927444458008
1.2461588382720947,-2.31064772605896,1.629508137702942,2.960238218307495,-1.31064772605896,1.629508137702942,3.960238218307495,-1.3208215236663818,1.6368271112442017,3.9634406566619873,0.010173797607421875,-0.007318973541259766,-0.0032024383544921875
1.3962154388427734,-2.31064772605896,1.629508137702942,2.960238218307495,-1.31064772605896,1.629508137702942,3.960238218307495,-1.3192178010940552,1.6359704732894897,3.963341474533081,0.008570075035095215,-0.0064623355865478516,-0.0031032562255859375
1.4809155464172363,-2.3105320930480957,1.630263090133667,2.95979380607605,-1.3105320930480957,1.630263090133667,3.95979380607605,-1.3192178010940552,1.6359704732894897,3.963341474533081,0.008685708045959473,-0.005707383155822754,-0.00354766845703125
1.5663166046142578,-2.3105320930480957,1.630263090133667,2.95979380607605,-1.3105320930480957,1.630263090133667,3.95979380607605,-1.3192178010940552,1.6359704732894897,3.963341474533081,0.008685708045959473,-0.005707383155822754,-0.00354766845703125
1.662278413772583,-2.3105320930480957,1.630263090133667,2.95979380607605,-1.3105320930480957,1.630263090133667,3.95979380607605,-1.3175715208053589,1.6353410482406616,3.963085889816284,0.007039427757263184,-0.005077958106994629,-0.003292083740234375
1.7377169132232666,-2.3102729320526123,1.6307698488235474,2.9595086574554443,-1.3102729320526123,1.6307698488235474,3.9595086574554443,-1.3175715208053589,1.6353410482406616,3.963085889816284,0.007298588752746582,-0.004571199417114258,-0.0035772323608398438
1.9264328479766846,-2.3102729320526123,1.6307698488235474,2.9595086574554443,-1.3102729320526123,1.6307698488235474,3.9595086574554443,-1.315896987915039,1.634728193283081,3.962590456008911,0.005624055862426758,-0.003958344459533691,-0.003081798553466797
2.079854726791382,-2.3097517490386963,1.631365180015564,2.9592692852020264,-1.3097517490386963,1.631365180015564,3.9592692852020264,-1.315896987915039,1.634728193283081,3.962590456008911,0.0061452388763427734,-0.00336301326751709,-0.0033211708068847656
2.130383253097534,-2.3097517490386963,1.631365180015564,2.9592692852020264,-1.3097517490386963,1.631365180015564,3.9592692852020264,-1.3144625425338745,1.634004831314087,3.962001085281372,0.004710793495178223,-0.0026396512985229492,-0.002731800079345703
2.182807207107544,-2.3097517490386963,1.631365180015564,2.9592692852020264,-1.3097517490386963,1.631365180015564,3.9592692852020264,-1.3144625425338745,1.634004831314087,3.962001085281372,0.004710793495178223,-0.0026396512985229492,-0.002731800079345703
2.2380361557006836,-2.3081183433532715,1.6320440769195557,2.9591054916381836,-1.3081183433532715,1.6320440769195557,3.9591054916381836,-1.3144625425338745,1.634004831314087,3.962001085281372,0.006344199180603027,-0.00196075439453125,-0.0028955936431884766
2.2922539710998535,-2.3081183433532715,1.6320440769195557,2.9591054916381836,-1.3081183433532715,1.6320440769195557,3.9591054916381836,-1.3144625425338745,1.634004831314087,3.962001085281372,0.006344199180603027,-0.00196075439453125,-0.0028955936431884766
2.346310615539551,-2.3081183433532715,1.6320440769195557,2.9591054916381836,-1.3081183433532715,1.6320440769195557,3.9591054916381836,-1.3129942417144775,1.633412480354309,3.9614264965057373,0.004875898361206055,-0.001368403434753418,-0.002321004867553711
2.398461103439331,-2.3081183433532715,1.6320440769195557,2.9591054916381836,-1.3081183433532715,1.6320440769195557,3.9591054916381836,-1.3129942417144775,1.633412480354309,3.9614264965057373,0.004875898361206055,-0.001368403434753418,-0.002321004867553711
2.4934334754943848,-2.3059144020080566,1.6325161457061768,2.959010601043701,-1.3059144020080566,1.6325161457061768,3.959010601043701,-1.3129942417144775,1.633412480354309,3.9614264965057373,0.0070798397064208984,-0.0008963346481323242,-0.002415895462036133
2.5425620079040527,-2.3059144020080566,1.6325161457061768,2.959010601043701,-1.3059144020080566,1.6325161457061768,3.959010601043701,-1.3129942417144775,1.633412480354309,3.9614264965057373,0.0070798397064208984,-0.0008963346481323242,-0.002415895462036133
2.59770131111145,-2.3059144020080566,1.6325161457061768,2.959010601043701,-1.3059144020080566,1.6325161457061768,3.959010601043701,-1.3106757402420044,1.63298499584198,3.960911512374878,0.004761338233947754,-0.00046885013580322266,-0.0019009113311767578
2.645564317703247,-2.3059144020080566,1.6325161457061768,2.959010601043701,-1.3059144020080566,1.6325161457061768,3.959010601043701,-1.3106757402420044,1.63298499584198,3.960911512374878,0.004761338233947754,-0.00046885013580322266,-0.0019009113311767578
2.791875123977661,-2.3036444187164307,1.6325716972351074,2.9590044021606445,-1.3036444187164307,1.6325716972351074,3.9590044021606445,-1.3106757402420044,1.63298499584198,3.960911512374878,0.0070313215255737305,-0.0004132986068725586,-0.0019071102142333984
2.8424477577209473,-2.3036444187164307,1.6325716972351074,2.9590044021606445,-1.3036444187164307,1.6325716972351074,3.9590044021606445,-1.3078234195709229,1.6325764656066895,3.960484027862549,0.0041790008544921875,-4.76837158203125e-06,-0.0014796257019042969
2.893480062484741,-2.3036444187164307,1.6325716972351074,2.9590044021606445,-1.3036444187164307,1.6325716972351074,3.9590044021606445,-1.3078234195709229,1.6325764656066895,3.960484027862549,0.0041790008544921875,-4.76837158203125e-06,-0.0014796257019042969
3.0462586879730225,-2.3022866249084473,1.63303804397583,2.9591076374053955,-1.3022866249084473,1.63303804397583,3.9591076374053955,-1.3078234195709229,1.6325764656066895,3.960484027862549,0.005536794662475586,0.000461578369140625,-0.0013763904571533203
3.1007235050201416,-2.3022866249084473,1.63303804397583,2.9591076374053955,-1.3022866249084473,1.63303804397583,3.9591076374053955,-1.3052704334259033,1.6322964429855347,3.9602596759796143,0.0029838085174560547,0.0007416009902954102,-0.00115203857421875
3.241081476211548,-2.3018994331359863,1.6345999240875244,2.959629535675049,-1.3018994331359863,1.6345999240875244,3.959629535675049,-1.3052704334259033,1.6322964429855347,3.9602596759796143,0.003371000289916992,0.002303481101989746,-0.0006301403045654297
3.380265712738037,-2.3018994331359863,1.6345999240875244,2.959629535675049,-1.3018994331359863,1.6345999240875244,3.959629535675049,-1.303492784500122,1.6322723627090454,3.960035562515259,0.0015933513641357422,0.002327561378479004,-0.00040602684020996094
3.5448617935180664,-2.3021740913391113,1.6366995573043823,2.960216760635376,-1.3021740913391113,1.6366995573043823,3.960216760635376,-1.303492784500122,1.6322723627090454,3.960035562515259,0.0013186931610107422,0.004427194595336914,0.0001811981201171875
