time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,1.355655,0.212451,5.64984,0.016692,-0.019882,-0.028702,-1.579773,0.242322,1.3397387266159058,2.3462164402008057,3.37719988822937,-0.01339636743068695,-0.0071880389004945755,0.08021107316017151,-1.3533276319503784,-0.059540171176195145,1.373608105295756,2.212370419879271,5.64984,0.03386937867985029,-0.1338460203215348,2.27264011177063,-0.22644536804962165,-0.4846244736639847,0.00435043238147819,0.0,0.016934689339925146,-0.0669230101607674,1.136320055885315,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.46768978432405955,-0.06257257777928922,1.136320055885315,-0.15097007732207782
0.1000,1.350363,0.205623,5.653783,0.004325,-0.051491,-0.006651,-1.579773,0.242322,1.3397387266159058,2.3462164402008057,3.37719988822937,-0.01339636743068695,-0.0071880389004945755,0.08021107316017151,-1.3533276319503784,-0.059540171176195145,1.368316105295756,2.205542419879271,5.653783,0.02857737867985022,-0.14067402032153487,2.2765831117706297,-0.22644536804962165,-0.4846244736639847,0.00435043238147819,0.0,0.01428868933992511,-0.07033701016076743,1.1382915558853148,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.4703357843240596,-0.06598657777928925,1.1382915558853148,-0.15097007732207782
0.1500,1.350363,0.205623,5.653783,0.004325,-0.051491,-0.006651,-1.579773,0.242322,1.3397387266159058,2.3462164402008057,3.37719988822937,-0.01339636743068695,-0.0071880389004945755,0.08021107316017151,-1.3533276319503784,-0.059540171176195145,1.368316105295756,2.205542419879271,5.653783,0.02857737867985022,-0.14067402032153487,2.2765831117706297,-0.22644536804962165,-0.4846244736639847,0.00435043238147819,0.0,0.01428868933992511,-0.07033701016076743,1.1382915558853148,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.4703357843240596,-0.06598657777928925,1.1382915558853148,-0.15097007732207782
0.2000,1.350363,0.205623,5.653783,0.004325,-0.051491,-0.006651,-1.579773,0.242322,1.342296838760376,2.345428705215454,3.380148410797119,0.035606078803539276,0.011380618438124657,0.01901836320757866,-1.3422563076019287,0.08940999209880829,1.368316105295756,2.205542419879271,5.653783,0.026019266535380003,-0.1398862853361833,2.2736345892028806,-0.23751669239807138,-0.4846244736639847,0.00435043238147819,0.0,0.013009633267690002,-0.06994314266809165,1.1368172946014403,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.4716148403962947,-0.06559271028661347,1.1368172946014403,-0.17472215312833794
0.2500,1.3479868499989396,0.20364269999911627,5.653095849999693,-0.0036389500035539568,-0.04782184999836262,-0.012289050002516011,-1.565821,0.127388,1.341731309890747,2.344550609588623,3.380216121673584,-0.03267277777194977,-0.023608941584825516,0.05787383019924164,-1.3377925157546997,0.12407588958740234,1.338036237461971,2.203617946173463,5.653095849999693,-0.0036950724287760917,-0.14093266341515998,2.2728797283261093,-0.2280284842453002,-0.25477284665965766,-0.0012675886298593587,0.0,-0.0018475362143880458,-0.07046633170757999,1.1364398641630546,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.2566203828740457,-0.07173392033743935,1.1364398641630546,-0.1820915763549804
0.3000,1.334522,0.192421,5.649202,-0.048768,-0.02703,-0.044238,-1.565821,0.127388,1.3404444456100464,2.3434336185455322,3.380268096923828,-0.051138751208782196,-0.0010907482355833054,0.06360844522714615,-1.3377925157546997,0.12407588958740234,1.3245713874630314,2.1923962461743467,5.649202,-0.015873058147015007,-0.15103737237118553,2.2689339030761717,-0.2280284842453002,-0.25477284665965766,-0.0012675886298593587,0.0,-0.007936529073507503,-0.07551868618559276,1.1344669515380859,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.26270937573316516,-0.07678627481545212,1.1344669515380859,-0.1820915763549804
0.3500,1.334522,0.192421,5.649202,-0.048768,-0.02703,-0.044238,-1.565821,0.127388,1.3404444456100464,2.3434336185455322,3.380268096923828,-0.051138751208782196,-0.0010907482355833054,0.06360844522714615,-1.3377925157546997,0.12407588958740234,1.3245713874630314,2.1923962461743467,5.649202,-0.015873058147015007,-0.15103737237118553,2.2689339030761717,-0.2280284842453002,-0.25477284665965766,-0.0012675886298593587,0.0,-0.007936529073507503,-0.07551868618559276,1.1344669515380859,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.26270937573316516,-0.07678627481545212,1.1344669515380859,-0.1820915763549804
0.4000,1.334522,0.192421,5.649202,-0.048768,-0.02703,-0.044238,-1.565821,0.127388,1.3404444456100464,2.3434336185455322,3.380268096923828,-0.051138751208782196,-0.0010907482355833054,0.06360844522714615,-1.3377925157546997,0.12407588958740234,1.3245713874630314,2.1923962461743467,5.649202,-0.015873058147015007,-0.15103737237118553,2.2689339030761717,-0.2280284842453002,-0.25477284665965766,-0.0012675886298593587,0.0,-0.007936529073507503,-0.07551868618559276,1.1344669515380859,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.26270937573316516,-0.07678627481545212,1.1344669515380859,-0.1820915763549804
0.4500,1.334522,0.192421,5.649202,-0.048768,-0.02703,-0.044238,-1.565821,0.127388,1.3404444456100464,2.3434336185455322,3.380268096923828,-0.051138751208782196,-0.0010907482355833054,0.06360844522714615,-1.3327724933624268,0.05679020658135414,1.3245713874630314,2.1923962461743467,5.649202,-0.015873058147015007,-0.15103737237118553,2.2689339030761717,-0.23304850663757315,-0.25477284665965766,-0.0012675886298593587,0.0,-0.007936529073507503,-0.07551868618559276,1.1344669515380859,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.26270937573316516,-0.07678627481545212,1.1344669515380859,-0.17937902596819394
0.5000,1.3268617499992112,0.18107654999883174,5.644417349999507,-0.018841999996918168,-0.042938100001638245,-0.015509949997041535,-1.5630519999997148,0.06399414999347158,1.3389912843704224,2.3431317806243896,3.378856658935547,-0.01835348829627037,-0.0039105163887143135,0.08620443195104599,-1.3327724933624268,0.05679020658135414,1.3113732512293443,2.1810165757010664,5.644417349999507,-0.027618033141078024,-0.1621152049233232,2.2655606910639605,-0.23027950663728805,-0.12798446198273622,-0.0009911733134525596,0.0,-0.013809016570539012,-0.0810576024616616,1.1327803455319803,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.14179347855327523,-0.08204877577511416,1.1327803455319803,-0.1835032109686187
0.5500,1.322737,0.174968,5.641841,-0.002728,-0.051504,-4.1e-05,-1.561561,0.029859,1.3389912843704224,2.3431317806243896,3.378856658935547,-0.01835348829627037,-0.0039105163887143135,0.08620443195104599,-1.3327724933624268,0.05679020658135414,1.30426660897331,2.1748827093452063,5.641841,-0.03472467539711244,-0.16824907127918332,2.2629843410644535,-0.22878850663757322,-0.05971545330633852,-0.0005515074056659378,0.0,-0.01736233769855622,-0.08412453563959166,1.1314921705322267,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.07707779100489473,-0.0846760430452576,1.1314921705322267,-0.18572392596819398
