time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
0.0500,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.1390855312347412,2.397493600845337,3.335723638534546,-0.02908809296786785,0.02189350314438343,-0.04012205824255943,-1.2487773895263672,0.008568750694394112,1.5398294459416793,2.1442590228935847,5.662943,0.40074391470693804,-0.2532345779517522,2.3272193614654544,-0.40550561047363276,0.2604038463292071,-0.021790902068401966,0.0,0.20037195735346902,-0.1266172889758761,1.1636096807327272,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.4607758036826761,-0.14840819104427805,1.1636096807327272,-0.3383270634483456
0.1000,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.1390855312347412,2.397493600845337,3.335723638534546,-0.02908809296786785,0.02189350314438343,-0.04012205824255943,-1.243155598640442,0.09404166787862778,1.5398294459416793,2.1442590228935847,5.662943,0.40074391470693804,-0.2532345779517522,2.3272193614654544,-0.41112740135955805,0.2604038463292071,-0.021790902068401966,0.0,0.20037195735346902,-0.1266172889758761,1.1636096807327272,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.4607758036826761,-0.14840819104427805,1.1636096807327272,-0.35137178787550927
0.1500,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.13693106174469,2.395463228225708,3.336526393890381,-0.019566617906093597,0.0007741879671812057,-0.019646715372800827,-1.2385132312774658,0.07597494125366211,1.5398294459416793,2.1442590228935847,5.662943,0.4028983841969893,-0.2512042053321233,2.3264166061096194,-0.4157697687225341,0.2604038463292071,-0.021790902068401966,0.0,0.20144919209849466,-0.12560210266606164,1.1632083030548097,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.46185303842770176,-0.1473930047344636,1.1632083030548097,-0.35327900910339355
0.2000,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.1340467929840088,2.392813205718994,3.3355085849761963,-0.06655026972293854,-0.013149549253284931,-0.0394403301179409,-1.2385132312774658,0.07597494125366211,1.5398294459416793,2.1442590228935847,5.662943,0.40578265295767046,-0.24855418282540942,2.327434415023804,-0.4157697687225341,0.2604038463292071,-0.021790902068401966,0.0,0.20289132647883523,-0.12427709141270471,1.163717207511902,0.0,-0.0,0.0,0.0,-0.0,0.0,0.46329517280804233,-0.14606799348110666,1.163717207511902,-0.35327900910339355
0.2500,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.1340467929840088,2.392813205718994,3.3355085849761963,-0.06655026972293854,-0.013149549253284931,-0.0394403301179409,-1.2385132312774658,0.07597494125366211,1.5398294459416793,2.1442590228935847,5.662943,0.40578265295767046,-0.24855418282540942,2.327434415023804,-0.4157697687225341,0.2604038463292071,-0.021790902068401966,0.0,0.20289132647883523,-0.12427709141270471,1.163717207511902,0.0,-0.0,0.0,0.0,-0.0,0.0,0.46329517280804233,-0.14606799348110666,1.163717207511902,-0.35327900910339355
0.3000,1.37305,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657,1.1340467929840088,2.392813205718994,3.3355085849761963,-0.06655026972293854,-0.013149549253284931,-0.0394403301179409,-1.2334094047546387,0.15367373824119568,1.5398294459416793,2.1442590228935847,5.662943,0.40578265295767046,-0.24855418282540942,2.327434415023804,-0.4208735952453612,0.2604038463292071,-0.021790902068401966,0.0,0.20289132647883523,-0.12427709141270471,1.163717207511902,0.0,-0.0,0.0,0.0,-0.0,0.0,0.46329517280804233,-0.14606799348110666,1.163717207511902,-0.3651319500204086
0.3500,1.37063,0.135223,5.663363,0.047293,-0.059643,0.01627,-1.647013,0.083714,1.130850076675415,2.3910717964172363,3.336599349975586,-0.0182054340839386,-0.02875337190926075,-0.010947514325380325,-1.2334094047546387,0.15367373824119568,1.5229158088597208,2.1294168302030574,5.663363,0.39206573218430574,-0.26165496621417894,2.3267636500244144,-0.4136035952453614,-0.16694194230161874,0.01274845420288267,0.0,0.19603286609215287,-0.13082748310708947,1.1633818250122072,0.0,-0.0,0.0,0.0,-0.0,0.0,0.02909092379053413,-0.1180790289042068,1.1633818250122072,-0.33787885002040874
0.4000,1.37063,0.135223,5.663363,0.047293,-0.059643,0.01627,-1.647013,0.083714,1.130850076675415,2.3910717964172363,3.336599349975586,-0.0182054340839386,-0.02875337190926075,-0.010947514325380325,-1.234604001045227,-0.0972878634929657,1.5229158088597208,2.1294168302030574,5.663363,0.39206573218430574,-0.26165496621417894,2.3267636500244144,-0.412408998954773,-0.16694194230161874,0.01274845420288267,0.0,0.19603286609215287,-0.13082748310708947,1.1633818250122072,0.0,-0.0,0.0,0.0,-0.0,0.0,0.02909092379053413,-0.1180790289042068,1.1633818250122072,-0.31182701281452185
0.4500,1.37063,0.135223,5.663363,0.047293,-0.059643,0.01627,-1.647013,0.083714,1.1273761987686157,2.3883137702941895,3.339717149734497,-0.030018512159585953,-0.021166719496250153,-0.020448969677090645,-1.2320750951766968,-0.013872615993022919,1.5229158088597208,2.1294168302030574,5.663363,0.39553961009110505,-0.25889694009113207,2.3236458502655033,-0.4149379048233033,-0.16694194230161874,0.01274845420288267,0.0,0.19776980504555253,-0.12944847004556603,1.1618229251327516,0.0,-0.0,0.0,0.0,-0.0,0.0,0.030827862743933787,-0.11670001584268336,1.1618229251327516,-0.3221916622593404
0.5000,1.37063,0.135223,5.663363,0.047293,-0.059643,0.01627,-1.647013,0.083714,1.1273761987686157,2.3883137702941895,3.339717149734497,-0.030018512159585953,-0.021166719496250153,-0.020448969677090645,-1.2320750951766968,-0.013872615993022919,1.5229158088597208,2.1294168302030574,5.663363,0.39553961009110505,-0.25889694009113207,2.3236458502655033,-0.4149379048233033,-0.16694194230161874,0.01274845420288267,0.0,0.19776980504555253,-0.12944847004556603,1.1618229251327516,0.0,-0.0,0.0,0.0,-0.0,0.0,0.030827862743933787,-0.11670001584268336,1.1618229251327516,-0.3221916622593404
